domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
aanthropic.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0penal.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0paypal.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0phemex.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0penai.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
0pnc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0progressive.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0rogressive.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aatna.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
abby.io,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aaure.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aallstate.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aap.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
0openai.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0pena1.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1-ctrl.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
ablp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aapple.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
abm.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
abnkofamerica.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aazon.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
abobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
abode.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
abp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
0okta.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0racle.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
aber.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
acale.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
11bank.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
11quid.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
acdobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
acdp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
acebook.com,FP-0007,Typosquat Evasion Infrastructure,95,TP-0012,dnstwist_match=True
achwab.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
acip.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aclode.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aclobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
13.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
acllp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
acpitalone.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
actna.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
actma.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
actra.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
acobe.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
acp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
ad0obe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
ad0be.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aclp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
abthem.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ad0.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ad9be.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
ad9obe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adabe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adboe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ad.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
addobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ad-p.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adeobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adep.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adfp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adfobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adibe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adbe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
addp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adkbe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adl.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adlbe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adllp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adlstate.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adlp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adm.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1adp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1adobe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1airbnb.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1amazon.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1americanexpress.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1apple.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1azure.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1bankofamerica.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1bitget.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1bitmart.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1bm.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adip.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1bank.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ado.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adob3.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adoba.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobe0.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adob.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobd.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobe1.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobe5.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobea.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobecom.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobbe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobe8.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobed.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobee.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobew.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobex.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobes.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobi.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1dm.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adoge.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobet.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adohe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adober.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobe6.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adoe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adcp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adoibe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adoobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adone.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adollbe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adopbe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adore.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adovbe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adove.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adp1.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adp3.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adp8.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpa.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpcom.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adiobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adp9.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpb.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpg.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpd.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpm.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpf.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpi.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpl.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpk.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adph.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adp5.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpr.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpq.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpn.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpo.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpj.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adlobe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adonbe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobel.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adps.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1bn.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adq.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpt.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adr.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpu.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adpy.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobc.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1bmo.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adpz.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adrp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adrobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adodc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1allstate.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
adobr.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adoeb.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adodle.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
adobz.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
