ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS133795,"CHOOPALLC-AS-AP The Constant Company, LLC, JP",JP,Unknown,False,
AS133994,,,Unknown,False,
AS134,"CORONA-GW-AS, US",US,Unknown,False,
AS134094,"SERVERFIELD-AS Serverfield Co., Ltd., TW",TW,Unknown,False,
AS134121,,,Unknown,False,
AS134176,,,Unknown,False,
AS134196,,,Unknown,False,
AS134450,"HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd, IN",IN,Unknown,False,
AS134451,"NME-INDONESIA-AS-AP NewMedia Express Pte Ltd, ID",ID,Unknown,False,
AS135,"DNIC-AS-00135, US",US,Unknown,False,
AS135085,"HOSTWINDSLLC-AS-AP Hostwinds LLC, US",US,Unknown,False,
AS135271,,,Unknown,False,
AS135340,,,Unknown,False,
AS135752,"EVOKEDS-AS Evoke Digital Solutions, IN",IN,Unknown,False,
AS135822,"HOSRAJA-AS Ovi Hosting Pvt Ltd, IN",IN,Unknown,False,
AS136,,,Unknown,False,
AS136180,"IPIP-CN Beijing Tiantexin Tech. Co., Ltd., CN",CN,Unknown,False,
AS136258,"ONEPROVIDER-AS BrainStorm Network, Inc, CA",CA,Unknown,False,
AS13627,,,Unknown,False,
AS136367,"HERBZOOT-AS-IN HERBZOOT HEALTHCARE PVT LTD, IN",IN,Unknown,False,
AS13647,"NETACTUATE, US",US,Unknown,False,
AS136557,,,Unknown,False,
AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",PA,Unknown,False,
AS136923,"WIT-AS-AP WitLayer Technologies Inc, CN",CN,Unknown,False,
AS137,"ASGARR Consortium GARR, IT",IT,Unknown,False,
AS137156,,,Unknown,False,
AS13737,,,Unknown,False,
AS13739,,,Unknown,False,
AS137409,,,Unknown,False,
AS137508,,,Unknown,False,
AS137897,,,Unknown,False,
AS138,,,Unknown,False,
AS138330,,,Unknown,False,
AS138643,,,Unknown,False,
AS138652,,,Unknown,False,
AS138687,,,Unknown,False,
AS138699,"TIKTOK-AS-AP TIKTOK PTE. LTD., SG",SG,Unknown,False,
AS138749,"ROBUSTED-AS-IN Robustedge Software And Digital Networks Pvt. Ltd., IN",IN,Unknown,False,
AS13875,,,Unknown,False,
AS138808,"INTECHMANDIRI-AS-ID PT. Intech Esa Mandiri, ID",ID,Unknown,False,
AS138915,"KAOPU-HK Kaopu Cloud HK Limited, HK",HK,Unknown,False,
AS138968,,,Unknown,False,
AS139,,,Unknown,False,
AS13909,"TECHIEMEDIA, US",US,Unknown,False,
AS13926,"NETPROTECT-PHX, US",US,Unknown,False,
AS13955,"ECHO-UPLINKDATA-COM, US",US,Unknown,False,
AS139660,,,Unknown,False,
AS14,"COLUMBIA-GW, US",US,Unknown,False,
AS140,"DNIC-AS-00140, US",US,Unknown,False,
AS140096,,,Unknown,False,
AS140125,"CYBERAUTICS-AS-IN Cyberautics Softwares, IN",IN,Unknown,False,
AS140155,"HOSTNET-AS-IN The Pinnacle Group Inc, IN",IN,Unknown,False,
AS140184,"SFNSNPL-AS Sfns Network Private Limited, IN",IN,Unknown,False,
AS140208,,,Unknown,False,
AS14061,"DIGITALOCEAN-ASN, US",US,Unknown,False,
AS140666,"ADPL-AS-AP ANY DIGITAL PTE. LTD., SG",SG,Unknown,False,
AS140787,"LAMA-AS-VN LAM A ARCHITECTURE CONSTRUCTION COMPANY LIMITED, VN",VN,Unknown,False,
AS140817,,,Unknown,False,
