ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance
81.17.122.3,nordvpn,confirmed,IN,Mumbai,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,in157.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.122.4,nordvpn,confirmed,IN,Mumbai,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,in158.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
149.88.17.76,nordvpn,confirmed,US,Miami,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,us10600.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
149.88.17.78,nordvpn,confirmed,US,Miami,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,us10601.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
93.114.129.121,nordvpn,confirmed,GB,London,wireguard,AS25369,"BANDWIDTH-AS, GB",nordvpn_api,2026-04-22,uk1717.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
93.114.129.123,nordvpn,confirmed,GB,London,wireguard,AS25369,"BANDWIDTH-AS, GB",nordvpn_api,2026-04-22,uk1718.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.17.54.39,nordvpn,confirmed,PL,Warsaw,wireguard,AS60068,"CDN77 _, GB",nordvpn_api,2026-04-22,pl226.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.17.54.41,nordvpn,confirmed,PL,Warsaw,wireguard,AS60068,"CDN77 _, GB",nordvpn_api,2026-04-22,pl227.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.1,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1728.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.14,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1729.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.27,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1730.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.40,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1731.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.53,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1732.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.66,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1733.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.79,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1734.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.91,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1735.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.103,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1736.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.115,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1737.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.132,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1738.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.144,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1739.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.156,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1740.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.168,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1741.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.180,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1742.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.192,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1743.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.204,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1744.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.216,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1745.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.228,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1746.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
84.39.151.240,nordvpn,confirmed,CA,Vancouver,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,ca1747.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.1,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th28.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.23,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th29.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.45,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th30.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.67,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th31.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.89,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th32.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.111,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th33.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.138,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th34.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.160,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th35.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.182,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th36.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.184.204,nordvpn,confirmed,TH,Bangkok,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,th37.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.185.1,nordvpn,confirmed,CR,San Jose,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,cr54.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.185.23,nordvpn,confirmed,CR,San Jose,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,cr55.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.185.45,nordvpn,confirmed,CR,San Jose,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,cr56.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.185.67,nordvpn,confirmed,CR,San Jose,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,cr57.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.185.89,nordvpn,confirmed,CR,San Jose,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,cr58.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
45.80.185.111,nordvpn,confirmed,CR,San Jose,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,cr59.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.122.5,nordvpn,confirmed,IN,Mumbai,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,in159.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.122.6,nordvpn,confirmed,IN,Mumbai,wireguard,AS212238,"CDNEXT, GB",nordvpn_api,2026-04-22,in160.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
81.17.121.1,nordvpn,confirmed,IT,Palermo,wireguard,AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",nordvpn_api,2026-04-22,it291.nordvpn.com,Public API,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)"
