ip,prefix,provider,asn,asn_name,source_date,score_prehire,tier_prehire,score_posthire,tier_posthire,first_seen,last_seen,active
103.139.178.63,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.139.178.123,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.139.178.183,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
217.138.213.18,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.198.66,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.198.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.198.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
188.241.176.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
62.93.167.130,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
62.93.167.160,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.120.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.120.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.121.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.121.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.122.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.122.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.123.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.123.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
178.249.214.2,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
178.249.214.15,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.84.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.84.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.85.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.85.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.86.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.86.127,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
23.234.87.2,,mullvad,AS11878,"TZULO - tzulo, inc., US",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
104.193.135.196,,mullvad,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
104.193.135.100,,mullvad,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.22.81.194,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.22.81.207,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
38.240.225.36,,mullvad,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
38.240.225.68,,mullvad,AS394256,"CLOUDSINGULARITY - Tech Futures Interactive Inc., CA",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.127.117,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.127.66,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.127.67,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.127.68,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.127.70,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.127.84,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
179.43.189.66,,mullvad,AS51852,"PLI-AS - Private Layer INC, PA",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
