ASN,Name,Country
AS542,"ARNET, CA",CA
AS36375,"UMICH-AS-5, US",US
AS28855,"OCTOPUCE-AS Customers , FR",FR
AS47,"USC-AS, US",US
AS2033,"PANIX, US",US
AS26527,"LIGHTWAVE-NETWORKS, US",US
AS400304,"CRUNCHBITS, US",US
AS27747,"Telecentro S.A., AR",AR
AS197019,"WEDOS, CZ",CZ
AS30823,"AUROLOGIC aurologic GmbH, DE",DE
AS268482,"Connect Telecomunicacoes LTDA, BR",BR
AS2914,"NTT-DATA-2914, US",US
AS20278,"NEXEON, US",US
AS46841,"FORKNETWORKING, US",US
AS21499,"GODADDY-SXB, DE",DE
AS49581,"FERDINANDZINK, DE",DE
AS199118,"HPLS-AS, DE",DE
AS4128,"RGNET-DFW RGnet Dallas Equinix, EE",EE
AS286,"KPN, US",US
AS346,"DNIC-ASBLK-00306-00371, US",US
AS6752,"ANDORRA Andorra Telecom, AD",AD
AS173,"NTTECL-AS Nippon Telegraph and Telephone Corporation, JP",JP
AS12876,"Online SAS, FR",FR
AS216246,"RU-AEZA-AS, RU",RU
AS321,"DNIC-ASBLK-00306-00371, US",US
AS12731,"IPHH IPHH Internet Port Hamburg GmbH, DE",DE
AS2519,"VECTANT ARTERIA Networks Corporation, JP",JP
AS334,"DNIC-ASBLK-00306-00371, US",US
AS46375,"AS-SONICTELECOM, US",US
AS1257,"TELE2, EU",EU
AS44812,"IPSERVER-RU-NET Fiord, RU",RU
AS59729,"ITL-BG, US",US
AS122,"UPMC-AS122, US",US
AS41436,"CLOUDWEBMANAGE-EU, US",US
AS4773,"MOBILEONELTD-AS-AP MobileOne Ltd. MobileInternet Service Provider Singapore, SG",SG
AS210083,"PRIVEX, BZ",BZ
AS4887,"PORTOFCC, US",US
AS36007,"KAMATERA, US",US
AS49505,"SELECTEL, RU",RU
AS206125,"TIMNET, FI",FI
AS57191,"ITB-AS, RU",RU
AS4557,"SOUTHEAST-TEXAS-GIGAPOP, US",US
AS20213,"GIFFORD-WIRELESS, US",US
AS203020,"HOSTROYALE, IN",IN
AS864,"GONET-ASN-17, CA",CA
AS3232,"ORG-ML847-RIPE, GB",GB
AS133159,"MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU",AU
AS396097,"SAIL-INET, US",US
AS351,"DNIC-ASBLK-00306-00371, US",US
AS60567,"RIXHOST, LV",LV
AS2872,"NCTY, TR",TR
AS2875,"JINR-AS JINRHEPNET, RU",RU
AS23470,"RELIABLESITE, US",US
AS37611,"AFRIHOST-SP, ZA",ZA
AS11847,"OTT, US",US
AS20344,"BILLERICAPS-MA-ASN, US",US
AS39819,"PROHOST, KG",KG
AS57858,"AS57858, SC",SC
AS23881,"UDOMAIN-AS-AP UDomain Web Hosting Company Ltd, HK",HK
AS39824,"ALMANET-AS, KZ",KZ
AS13469,"STINGRAY GROUP INC, CA",CA
AS4788,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY
AS3352,"TELEFONICA_DE_ESPANA, ES",ES
AS212238,"CDNEXT, GB",GB
AS21140,"FLY-TELECOM-AS, RU",RU
AS26068,"ONSH-NET-CHGO-BLK01, US",US
AS30036,"MEDIACOM-ENTERPRISE-BUSINESS, US",US
AS207992,"FEELB, FR",FR
AS27411,"LEASEWEB-USA-CHI, US",US
AS34222,"ZONER-AS, CZ",CZ
AS209825,"IBNET IBNET ISP AS, UA",UA
AS672,"DNIC-AS-00672, US",US
AS27005,"PNPT-ASN, US",US
AS20571,"EXOMI, FI",FI
AS207459,"AS-TEKNOSOS-INT, TR",TR
AS306,"DNIC-ASBLK-00306-00371, US",US
AS14956,"ROUTERHOSTING, US",US
AS468,"AFCONC-BLOCK1-AS, US",US
AS87,"INDIANA-AS, US",US
AS20712,"AS20712 Andrews & Arnold Ltd, GB",GB
AS200233,"BFH, CH",CH
AS213230,"HETZNER-CLOUD2-AS, DE",DE
AS396527,"MIT-PUBWIFI, US",US
