domain,priority,reason,flame_tp_ids,vt_malicious_count,vt_total_engines,vt_reputation,vt_last_analysis_date
gail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-03-01
gamil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-03-01
geail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,1,93,0,2026-02-28
ggmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,11,93,-7,2026-02-28
gma2il.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,0,93,0,2025-04-28
gmaail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,9,93,0,2026-02-28
gmaal.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,0,93,0,2026-01-26
gmai.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,14,93,-65,2026-03-01
gmai9l.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-02-26
gmaiil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,8,93,0,2026-03-01
gmaik.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,1,93,0,2026-02-16
gmail0.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,9,93,0,2026-02-12
gmail5.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-01-22
gmail8.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,0,93,0,2026-01-28
gmailg.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,0,93,0,2026-02-09
gmailh.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,12,93,0,2026-02-19
gmailk.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,9,93,-2,2026-02-25
gmaill.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,1,93,0,2026-02-25
gmailm.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,8,93,0,2026-02-28
gmailr.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,0,93,0,2026-02-26
gmails.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,1,93,0,2026-02-23
gmaim.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,-1,2026-02-18
gmain.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-02-26
gmaiol.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,6,93,0,2026-03-01
gmaip.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-02-15
gmaiul.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-01-25
gmakil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,9,93,0,2026-02-25
gmakl.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-02-23
gmal.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,1,93,0,2026-02-24
gmali.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,2,93,-3,2026-02-28
gmall.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,0,93,0,2026-02-28
gmaol.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,8,93,0,2026-02-28
gmasil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-02-25
gmauil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,5,93,0,2026-02-28
