ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
104.21.20.97,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.21.173,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.21.192,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.21.50,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.22.25,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.23.150,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.23.55,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.24.172,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.24.188,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.24.86,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.26.106,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.26.162,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.26.78,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.27.116,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.27.136,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.27.149,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.27.17,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.27.82,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.28.239,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.3.182,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.3.52,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.3.96,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.30.138,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.30.141,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.30.226,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.30.234,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.30.239,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.31.199,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.31.20,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.31.210,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.31.90,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.32.213,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.34.84,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.36.22,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
104.21.36.229,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
