mx_host,domain_count,primary_asn
mx1.privateemail.com,90,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
srv4.recoverhost.com,89,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
in.mail.tm,84,"AS24940 (HETZNER-AS, DE)"
mail4.outsideserver.com,80,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
tm.xuanlich.com,79,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
recv1.erinn.biz,78,"AS7506 (INTERQ GMO Internet Group, Inc., JP)"
mx.generic-isp.com,78,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.stackmail.com,75,"AS48254 (TWENTYI, GB)"
mx1.hosting.reg.ru,71,"AS197695 (AS-REG, RU)"
mainmx4.darkprobe.com,70,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx4.mxcomet.com,70,"AS24940 (HETZNER-AS, DE)"
coloa4.hubblehost.com,69,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx10.antispam.mailspamprotection.com,67,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mx1.titan.email,65,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
mx2.forwardemail.net,61,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx01.mail.icloud.com,60,"AS714 (APPLE-ENGINEERING - Apple Inc., US)"
emx.mail.ru,60,"AS47764 (VK-AS, RU)"
mx.discard.email,59,"AS197540 (NETCUP-AS netcup GmbH, DE)"
mail.computer.com,59,"AS199524 (GCORE, LU)"
~,58,
custmx.cscdns.net,55,"AS63949 (AKAMAI-LINODE-AP Akamai Connected Cloud, SG)"
mx.yandex.ru,53,AS13238 208398 (Unknown)
mx.hover.com.cust.hostedemail.com,52,"AS15348 (TUCOWS - Tucows.com Co., CA)"
tryninja.io,51,"AS63949 (AKAMAI-LINODE-AP Akamai Connected Cloud, SG)"
mail.tazza.me,50,"AS47583 (AS-HOSTINGER, CY)"
domain-us-1.getmx.com,50,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
la4.inquirymailer.com,49,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
