pivot_selector,pivot_ip,discovered_domain,source
Backfill,185.132.53.240,tempdelete.com,AlienVault_OTX
Backfill,185.252.232.172,tempgenerator.com,AlienVault_OTX
Backfill,185.252.232.172,sendup.life,AlienVault_OTX
Backfill,185.252.232.172,val1637448508.c0d3r.org,AlienVault_OTX
Backfill,185.252.232.172,val1637282208.c0d3r.org,AlienVault_OTX
Backfill,185.252.232.172,val1636653653.c0d3r.org,AlienVault_OTX
Backfill,194.163.139.202,moneyearn.store,AlienVault_OTX
Backfill,194.163.139.202,diedoerfer.scarala.de,AlienVault_OTX
Backfill,194.163.139.202,www.mplusgroup.eu,AlienVault_OTX
Backfill,194.163.139.202,mplusgroup.eu,AlienVault_OTX
Backfill,194.163.139.202,keen-tereshkova.194-163-139-202.plesk.page,AlienVault_OTX
Backfill,209.38.106.218,trickontrip.com,AlienVault_OTX
Backfill,212.22.69.210,pandora.nesil.dev,AlienVault_OTX
Backfill,212.22.69.210,storm.nesil.dev,AlienVault_OTX
Backfill,212.22.69.210,vexkon.com,AlienVault_OTX
Backfill,212.22.69.210,vexkon.online,AlienVault_OTX
Backfill,212.22.69.210,blixva.com,AlienVault_OTX
Backfill,212.22.69.210,draxva.com,AlienVault_OTX
Backfill,212.22.69.210,kruxva.com,AlienVault_OTX
Backfill,212.22.69.210,slixkon.com,AlienVault_OTX
Backfill,212.22.69.210,zrixe.com,AlienVault_OTX
Backfill,212.22.69.210,riftkon.com,AlienVault_OTX
Backfill,212.22.69.210,spyrva.com,AlienVault_OTX
Backfill,212.22.69.210,grimkon.com,AlienVault_OTX
Backfill,212.22.69.210,snavix.com,AlienVault_OTX
Backfill,212.22.69.210,drevkon.com,AlienVault_OTX
Backfill,212.22.69.210,gruxkon.com,AlienVault_OTX
Backfill,212.22.69.210,snaxkon.com,AlienVault_OTX
Backfill,212.22.69.210,cryptva.com,AlienVault_OTX
Backfill,212.22.69.210,drezva.com,AlienVault_OTX
Backfill,212.22.69.210,spyrkon.com,AlienVault_OTX
Backfill,212.22.69.210,kluxton.com,AlienVault_OTX
Backfill,212.22.69.210,brexkon.com,AlienVault_OTX
Backfill,212.22.69.210,vraxva.com,AlienVault_OTX
Backfill,212.22.69.210,evilkon.com,AlienVault_OTX
Backfill,212.22.69.210,drixkon.com,AlienVault_OTX
Backfill,212.22.69.210,duskkon.com,AlienVault_OTX
Backfill,212.22.69.210,voidkon.com,AlienVault_OTX
Backfill,212.22.69.210,glixkon.com,AlienVault_OTX
Backfill,212.22.69.210,fraxkons.com,AlienVault_OTX
Backfill,212.22.69.210,vraxkon.com,AlienVault_OTX
Backfill,212.22.69.210,shadkon.com,AlienVault_OTX
Backfill,212.22.69.210,glixva.com,AlienVault_OTX
Backfill,212.22.69.210,kluxkon.com,AlienVault_OTX
Backfill,212.22.69.210,cryptkon.com,AlienVault_OTX
Backfill,212.22.69.210,blixkon.com,AlienVault_OTX
Backfill,212.22.69.210,slixify.com,AlienVault_OTX
Backfill,212.22.69.210,klozex.com,AlienVault_OTX
Backfill,212.22.69.210,zyrekon.com,AlienVault_OTX
Backfill,212.22.69.210,snaxton.com,AlienVault_OTX
Backfill,212.22.69.210,slixton.com,AlienVault_OTX
Backfill,212.22.69.210,drezify.com,AlienVault_OTX
Backfill,212.22.69.210,kuzeymail.xyz,AlienVault_OTX
Backfill,212.22.69.210,bii-mail.click,AlienVault_OTX
Backfill,212.22.69.210,bii-mail.cyou,AlienVault_OTX
Backfill,212.22.69.210,mail-servisi.com,AlienVault_OTX
Backfill,212.22.69.210,mailkotasi.com,AlienVault_OTX
Backfill,212.22.69.210,bi-mail.com,AlienVault_OTX
Backfill,212.22.69.210,gmai-mail.com,AlienVault_OTX
Backfill,212.22.69.210,mail-kaliteli.com,AlienVault_OTX
Backfill,212.22.69.210,hadi-mail.com,AlienVault_OTX
Backfill,212.22.69.210,lordofring-mail.com,AlienVault_OTX
Backfill,212.22.69.210,single-mail.com,AlienVault_OTX
Backfill,212.22.69.210,zk-mail.com,AlienVault_OTX
Backfill,212.22.69.210,krd-mail.net,AlienVault_OTX
Backfill,212.22.69.210,reo-mail.com,AlienVault_OTX
Backfill,212.22.69.210,ua-mail.com,AlienVault_OTX
Backfill,212.22.69.210,tek-mail.com,AlienVault_OTX
Backfill,212.22.69.210,kuals.com,AlienVault_OTX
Backfill,212.22.69.210,verifysel.com,AlienVault_OTX
Backfill,212.22.69.210,low-mail.com,AlienVault_OTX
Backfill,212.22.69.210,mail-toy.com,AlienVault_OTX
Backfill,212.22.69.210,kalite-mail.com,AlienVault_OTX
Backfill,212.22.69.210,en-mail.com,AlienVault_OTX
Backfill,212.22.69.210,kalitelihesaplar.com,AlienVault_OTX
Backfill,212.22.69.210,rusteron.com,AlienVault_OTX
Backfill,212.22.69.210,quality-mail.com,AlienVault_OTX
Backfill,212.22.69.210,kd-mail.com,AlienVault_OTX
Backfill,212.22.69.210,rua-mail.com,AlienVault_OTX
Backfill,212.22.69.210,feysmail.com,AlienVault_OTX
Backfill,212.22.69.210,kh-mail.com,AlienVault_OTX
Backfill,212.22.69.210,kuzeymail.com,AlienVault_OTX
Backfill,212.22.69.210,ruymail.com,AlienVault_OTX
Backfill,23.95.14.4,nineinnine.pw,AlienVault_OTX
Backfill,24.199.122.235,stepmail.tech,AlienVault_OTX
Backfill,24.199.122.235,hello.pds.emilyliu.me,AlienVault_OTX
Backfill,3.6.0.188,gmailfy.online,AlienVault_OTX
Backfill,3.6.0.188,gmailfy.com,AlienVault_OTX
Backfill,3.6.0.188,hiteshkachhadiya.com,AlienVault_OTX
Backfill,3.6.0.188,madhavtechno.com,AlienVault_OTX
Backfill,3.6.0.188,hirenbhikadiya.com,AlienVault_OTX
Backfill,34.212.130.216,test65fb3f87fb5d.broadwing.pillpack.com,AlienVault_OTX
Backfill,34.212.130.216,deploy-delete-app-eu-north-1-0.deploy-delete-test-eu-north-1-ph38bw4.us-west-2.forgeapps.ec2.aws.dev,AlienVault_OTX
Backfill,34.89.171.132,postal.telcong.com,AlienVault_OTX
Backfill,35.162.145.111,octobercms.com,AlienVault_OTX
Backfill,35.162.145.111,rd-verify-deletex.fc6a1d46.beta.forgeinternaldnsapps.ec2.aws.dev,AlienVault_OTX
Backfill,35.162.145.111,trackmyholidays.com,AlienVault_OTX
Backfill,35.162.145.111,onecampus.vt.edu,AlienVault_OTX
Backfill,38.242.139.150,sg9.cstnsss.online,AlienVault_OTX
Backfill,44.232.51.223,in.logstream.heuristic-pascal-gj5umfh.cribl-staging.cloud,AlienVault_OTX
Backfill,45.147.96.7,vincentsoukup.com,AlienVault_OTX
Backfill,45.147.96.7,mail789.fr,AlienVault_OTX
Backfill,45.147.96.7,daftmail.cloud,AlienVault_OTX
Backfill,45.147.96.7,mail123.cloud,AlienVault_OTX
Backfill,45.147.96.7,mail123.fr,AlienVault_OTX
Backfill,45.147.96.7,coverters.com,AlienVault_OTX
Backfill,45.147.96.7,metube.dupouy.one,AlienVault_OTX
Backfill,45.147.96.7,n8n.dupouy.one,AlienVault_OTX
Backfill,45.147.96.7,glance.dupouy.one,AlienVault_OTX
Backfill,45.147.96.7,cape3.cape-cybersecurity.fr,AlienVault_OTX
Backfill,5.161.214.60,ossmirr.org,AlienVault_OTX
Backfill,5.161.90.125,s1.creemhost.net,AlienVault_OTX
Backfill,5.189.139.246,pht.6real.de,AlienVault_OTX
Backfill,5.189.139.246,vm.6real.de,AlienVault_OTX
Backfill,5.189.139.246,kafka2.vanguardiaboys.rocks,AlienVault_OTX
Backfill,5.189.139.246,kafka3.vanguardiaboys.rocks,AlienVault_OTX
Backfill,5.189.139.246,kafka1.vanguardiaboys.rocks,AlienVault_OTX
Backfill,5.189.139.246,portainer.vanguardiaboys.rocks,AlienVault_OTX
Backfill,5.189.139.246,admin-npm.vanguardiaboys.rocks,AlienVault_OTX
Backfill,5.189.139.246,backend.medbutler.de,AlienVault_OTX
Backfill,5.189.139.246,rasa.medbutler.de,AlienVault_OTX
Backfill,51.159.163.99,albiaberriatpv.ack.eus,AlienVault_OTX
Backfill,51.159.163.99,albiaberria.test.ack.eus,AlienVault_OTX
Backfill,51.68.196.134,mansellmctaggart-fr.3cx.co.uk,AlienVault_OTX
Backfill,51.68.196.134,master.hostriver.ro,AlienVault_OTX
Backfill,51.68.196.134,cpcontacts.hostriver.ro,AlienVault_OTX
Backfill,51.68.196.134,hostriver.ro,AlienVault_OTX
Backfill,51.68.196.134,cpcalendars.hostriver.ro,AlienVault_OTX
Backfill,51.68.196.134,cpcalendars.unreleased-sounds.com,AlienVault_OTX
Backfill,51.68.196.134,cpcontacts.unreleased-sounds.com,AlienVault_OTX
Backfill,51.68.196.134,factoriobanlist.com,AlienVault_OTX
Backfill,51.68.196.134,whm.cakegaming.net,AlienVault_OTX
Backfill,51.68.196.134,cakegaming.net,AlienVault_OTX
Backfill,51.68.196.134,whm.cakeuniverse.net,AlienVault_OTX
Backfill,51.68.196.134,cakeuniverse.net,AlienVault_OTX
Backfill,51.68.196.134,www.dating.low.gg,AlienVault_OTX
Backfill,51.68.196.134,dating.low.gg,AlienVault_OTX
Backfill,51.68.196.134,ns2.low.ovh,AlienVault_OTX
Backfill,51.68.196.134,ns1.low.ovh,AlienVault_OTX
Backfill,51.68.196.134,www.proxy.cakebot.net,AlienVault_OTX
Backfill,51.68.196.134,proxy.cakebot.net,AlienVault_OTX
Backfill,51.68.196.134,whm.cakebot.net,AlienVault_OTX
Backfill,51.68.196.134,cakebot.net,AlienVault_OTX
Backfill,51.68.196.134,unreleased-sounds.com,AlienVault_OTX
Backfill,51.68.196.134,whm.unreleased-sounds.com,AlienVault_OTX
Backfill,51.68.196.134,whm.cptpuffy.com,AlienVault_OTX
Backfill,51.68.196.134,cptpuffy.com,AlienVault_OTX
Backfill,51.68.196.134,low.gg,AlienVault_OTX
