risk_tag,count
HighRisk:NoMX,6870
HighRisk:ParkingPage,1102
HighRisk:PrivateIP,797
Proxy:VPN,572
HighRisk:SuspiciousTitle,240
VPN:Hotspotshield,3
Proxy:SOCKS5,1
