ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
198.167.192.37,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg019.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.39,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg020.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.41,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg021.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.43,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg022.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.45,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg023.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.47,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg024.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.49,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg025.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.51,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg026.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.53,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg027.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.55,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg028.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.57,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg029.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",prefix_inferred_from_29_ips,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,prefix-inferred,198.167.192.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.193.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.194.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.195.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.196.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.197.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.198.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.199.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.200.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.201.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.202.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.203.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.204.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.205.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.206.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.207.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.208.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.209.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.210.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.211.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.212.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.213.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.214.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.215.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.216.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.217.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.218.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.219.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.220.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.221.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.222.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
,njalla,medium,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",rdap_prefix_expansion,2026-08-02,,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,egress-inferred,198.167.223.0/24,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
