ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
212.102.63.92,windscribe,confirmed,GB,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",windscribe_dns,2026-07-19,uk-028.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
138.199.31.129,windscribe,confirmed,GB,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",windscribe_dns,2026-07-19,uk-029.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
193.36.118.226,windscribe,confirmed,GB,,wireguard,AS206804,"EstNOC-GLOBAL - EstNOC OU, EE",windscribe_dns,2026-07-19,uk-030.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
84.17.50.193,windscribe,confirmed,GB,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",windscribe_dns,2026-07-19,uk-036.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
84.17.50.129,windscribe,confirmed,GB,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",windscribe_dns,2026-07-19,uk-039.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
84.17.50.157,windscribe,confirmed,GB,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",windscribe_dns,2026-07-19,uk-040.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
5.252.69.3,windscribe,confirmed,GB,,wireguard,AS29802,"HVC-AS - HIVELOCITY, Inc., US",windscribe_dns,2026-07-19,uk-041.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
5.252.69.4,windscribe,confirmed,GB,,wireguard,AS29802,"HVC-AS - HIVELOCITY, Inc., US",windscribe_dns,2026-07-19,uk-042.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
193.36.118.210,windscribe,confirmed,GB,,wireguard,AS206804,"EstNOC-GLOBAL - EstNOC OU, EE",windscribe_dns,2026-07-19,uk-043.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.120.233.18,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-044.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.120.233.34,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-045.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.120.233.50,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-046.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
84.233.178.33,windscribe,confirmed,GB,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",windscribe_dns,2026-07-19,uk-047.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.221.113.194,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-048.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.221.113.130,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-049.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.221.113.146,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-050.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.221.113.162,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-051.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
37.221.113.178,windscribe,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,uk-052.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
