ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
138.199.33.236,protonvpn,confirmed,AU,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-au-11.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
138.199.33.225,protonvpn,confirmed,AU,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-au-12.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.102.244.17,protonvpn,confirmed,PL,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-pl-05.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.36.48.129,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-200.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
185.76.11.22,protonvpn,confirmed,ES,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-es-05.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
37.19.214.1,protonvpn,confirmed,ES,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-es-06.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.102.224.175,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-228.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
212.102.44.166,protonvpn,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-94.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.88.102.33,protonvpn,confirmed,DE,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-de-21.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
85.132.252.34,protonvpn,confirmed,CY,,wireguard,AS35432,"CABLENET-AS - Cablenet Communication Systems plc, CY",protonvpn_local_cache,2026-07-12,node-cy-01.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
146.70.142.18,protonvpn,confirmed,IN,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-in-05.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
146.70.181.34,protonvpn,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-uk-20.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
103.108.229.18,protonvpn,confirmed,AU,,wireguard,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",protonvpn_local_cache,2026-07-12,node-au-16.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
45.14.71.6,protonvpn,confirmed,JP,,wireguard,AS4785,"XTOM-AS-JP - xTom, JP",protonvpn_local_cache,2026-07-12,node-jp-14.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
144.48.39.226,protonvpn,confirmed,AU,,wireguard,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",protonvpn_local_cache,2026-07-12,node-au-18.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
163.5.171.2,protonvpn,confirmed,US,,wireguard,AS199218,"ProtonVPN-2 - Proton AG, CH",protonvpn_local_cache,2026-07-12,node-us-256.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
163.5.171.29,protonvpn,confirmed,US,,wireguard,AS199218,"ProtonVPN-2 - Proton AG, CH",protonvpn_local_cache,2026-07-12,node-us-257.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.88.18.193,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-254.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
212.92.104.225,protonvpn,confirmed,NL,,wireguard,AS43350,"NFORCE - NForce Entertainment B.V., NL",protonvpn_local_cache,2026-07-12,node-nl-168.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
154.47.22.65,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-207.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
154.47.22.90,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-224.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
89.187.175.129,protonvpn,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-75.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.102.235.33,protonvpn,confirmed,CZ,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-cz-04.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
156.146.45.129,protonvpn,confirmed,HK,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-hk-04.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
156.146.55.225,protonvpn,confirmed,BG,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-bg-02.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
45.134.140.46,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-225.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.102.226.225,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-202.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.36.48.141,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-199.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
89.187.180.40,protonvpn,confirmed,US,,wireguard,AS60068,"CDN77 - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-135.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
154.47.25.145,protonvpn,confirmed,US,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-us-205.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
146.70.204.162,protonvpn,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-uk-09.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
146.70.202.130,protonvpn,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-us-190.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
146.70.51.210,protonvpn,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-us-182.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
130.195.250.66,protonvpn,confirmed,ES,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-es-08.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
130.195.250.98,protonvpn,confirmed,ES,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",protonvpn_local_cache,2026-07-12,node-es-09.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
149.40.48.225,protonvpn,confirmed,GB,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-uk-23.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
138.199.50.107,protonvpn,confirmed,MX,,wireguard,AS212238,"CDNEXT - Datacamp Limited, GB",protonvpn_local_cache,2026-07-12,node-mx-03.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
185.159.158.1,protonvpn,confirmed,IS,,wireguard,AS56704,"FARICE-AS - Farice ehf, IS",protonvpn_local_cache,2026-07-12,node-is-01.protonvpn.net,Local client cache,Verified no-logs (2023 Swedish police raid); privacy-focused,unknown,,8,contextual,8,contextual,VPN-009,2026-05-07,2026-07-12,true
