ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance
103.136.147.65,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-102,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.136.147.129,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-103,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.136.147.197,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-104,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.120.6.2,mullvad,confirmed,au,Sydney,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,au-syd-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.120.6.127,mullvad,confirmed,au,Sydney,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,au-syd-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.141.60.2,mullvad,confirmed,au,Sydney,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,au-syd-wg-303,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.141.60.127,mullvad,confirmed,au,Sydney,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,au-syd-wg-304,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
91.90.123.2,mullvad,confirmed,be,Brussels,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,be-bru-wg-101,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
194.110.115.34,mullvad,confirmed,be,Brussels,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,be-bru-wg-102,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
194.110.115.2,mullvad,confirmed,be,Brussels,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,be-bru-wg-103,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.188.130,mullvad,confirmed,bg,Sofia,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,bg-sof-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.188.194,mullvad,confirmed,bg,Sofia,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,bg-sof-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
98.98.12.178,mullvad,confirmed,br,Fortaleza,wireguard,AS21859,"ZEN-ECN - Zenlayer Inc, US",mullvad_api,2026-04-20,br-for-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
98.98.12.182,mullvad,confirmed,br,Fortaleza,wireguard,AS21859,"ZEN-ECN - Zenlayer Inc, US",mullvad_api,2026-04-20,br-for-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
169.150.198.66,mullvad,confirmed,br,Sao Paulo,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,br-sao-wg-201,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
169.150.198.79,mullvad,confirmed,br,Sao Paulo,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,br-sao-wg-202,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.139.178.63,mullvad,confirmed,br,Sao Paulo,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,br-sao-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.139.178.123,mullvad,confirmed,br,Sao Paulo,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,br-sao-wg-303,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.139.178.183,mullvad,confirmed,br,Sao Paulo,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,br-sao-wg-304,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
217.138.213.18,mullvad,confirmed,ca,Montreal,bridge,AS9009,"M247, RO",mullvad_api,2026-04-20,ca-mtr-br-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.198.66,mullvad,confirmed,ca,Montreal,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,ca-mtr-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.198.130,mullvad,confirmed,ca,Montreal,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,ca-mtr-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.198.194,mullvad,confirmed,ca,Montreal,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,ca-mtr-wg-003,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
188.241.176.194,mullvad,confirmed,ca,Montreal,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,ca-mtr-wg-004,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
62.93.167.130,mullvad,confirmed,ca,Montreal,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ca-mtr-wg-201,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
62.93.167.160,mullvad,confirmed,ca,Montreal,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ca-mtr-wg-202,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.120.2,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.120.127,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
23.234.121.2,mullvad,confirmed,ca,Montreal,wireguard,AS11878,"TZULO - tzulo, inc., US",mullvad_api,2026-04-20,ca-mtr-wg-303,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
