ip,port,org,asn,Name,country,city,hostnames,product,version,os,transport,has_auth,risk_level,query_source,discovered_at,shodan_total,data_snippet,is_corporate,matched_org,first_seen,last_seen,days_exposed
34.59.22.124,18789,Google LLC,AS396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",United States,Council Bluffs,124.22.59.34.bc.googleusercontent.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""clawdbot""",2026-02-11T14:30:03.143516+00:00,0,"HTTP/1.1 200 OK
 Date: Sun, 01 Feb 2026 06:19:10 G",False,,2026-02-11T14:30:06.945289+00:00,2026-02-17T22:19:33.023384+00:00,6
8.137.86.74,18789,Aliyun Computing Co.LTD,AS37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",China,Chengdu,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""gateway"" ""websocket""",2026-02-11T14:30:05.650385+00:00,0,"HTTP/1.1 200 OK
 Composed-By: SPIP 4.1.11 @ www.sp",False,,2026-02-11T14:30:06.945289+00:00,2026-02-22T14:24:58.240235+00:00,10
47.113.219.226,18789,"Aliyun Computing Co., LTD",AS37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",China,Heyuan,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""gateway"" ""websocket""",2026-02-11T14:30:05.650394+00:00,0,"HTTP/1.1 200 OK
 Cf-Cache-Status: DYNAMIC
 Cf-Ray:",False,,2026-02-11T14:30:06.945289+00:00,2026-03-09T14:20:05.009031+00:00,25
34.178.28.14,18789,Google LLC,AS15169,"GOOGLE - Google LLC, US",United States,Mountain View,14.28.178.34.bc.googleusercontent.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""OpenClaw""",2026-02-11T19:53:35.135237+00:00,0,"HTTP/1.1 200 OK
 Content-Type: text/html
 X-Powere",False,,2026-02-11T19:53:42.851585+00:00,2026-02-17T22:19:33.023384+00:00,6
188.155.18.150,18789,sunrise,AS6730,"SUNRISE, CH",Switzerland,Zürich,xdsl-188-155-18-150.adslplus.ch,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""OpenClaw""",2026-02-12T01:12:07.449980+00:00,0,"HTTP/1.1 302 Found
 Location: http://188.155.18.15",False,,2026-02-12T01:12:19.477275+00:00,2026-02-17T22:19:33.023384+00:00,5
82.65.245.54,18789,Free SAS,AS12322,"PROXAD, FR",France,Cugnaux,82-65-245-54.subs.proxad.net,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""OpenClaw""",2026-02-15T00:15:33.440640+00:00,0,"HTTP/1.1 302 Found
 Location: http://82.65.245.54:",False,,2026-02-15T00:15:42.816771+00:00,2026-02-17T22:19:33.023384+00:00,2
172.105.173.57,18789,Linode,AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",Australia,Sydney,172-105-173-57.ip.linodeusercontent.com,OpenClaw,,,tcp,True,MEDIUM,"port:18789 ""gateway"" ""websocket""",2026-02-15T00:15:41.669870+00:00,0,"HTTP/1.1 200 OK
 content-type: text/html;charset=U",False,,2026-02-15T00:15:42.816771+00:00,2026-03-09T14:20:05.009031+00:00,22
170.9.235.217,18789,Oracle Corporation,AS31898,"ORACLE-BMC-31898 - Oracle Corporation, US",United States,Chicago,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908858+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
120.48.72.251,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908662+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T09:41:32.588293+00:00,0
120.48.33.204,18789,"Beijing Baidu Netcom Science and Technology Co., Ltd.",AS38365,BAIDU Beijing Baidu Netcom Science and Technology Co.,China,Beijing,,OpenClaw,,,tcp,True,MEDIUM,"port:18789 title:""OpenClaw""",2026-02-19T09:39:21.908666+00:00,0,"HTTP/1.1 200 OK
 X-Frame-Options: DENY
 Content-Se",False,,2026-02-19T09:41:32.588293+00:00,2026-02-19T15:15:27.054341+00:00,0
