domain,ip,shodan_ip,ports,vulns,tags,hostnames,os,priority,reason
blockxyz.com,8.210.10.176,8.210.10.176,20000;20070;20010;20080;20050;20020;20090;20060;20030,,cloud,,,1,Combo-squat: block
blocksmith-te.ch,128.65.195.180,128.65.195.180,80;443;21,CVE-2019-0196;CVE-2017-7679;CVE-2017-9798;CVE-2025-58098;CVE-2013-4365;CVE-2021-32785;CVE-2022-28330;CVE-2021-32791;CVE-2021-32792;CVE-2023-31122;CVE-2024-38476;CVE-2024-27316;CVE-2024-38474;CVE-2024-38475;CVE-2024-38472;CVE-2024-38473;CVE-2009-0796;CVE-2019-17567;CVE-2020-1927;CVE-2011-2688;CVE-2017-3167;CVE-2021-32786;CVE-2017-3169;CVE-2020-9490;CVE-2007-4723;CVE-2021-44790;CVE-2020-13938;CVE-2019-9517;CVE-2020-35452;CVE-2022-22719;CVE-2024-47252;CVE-2020-1934;CVE-2021-34798;CVE-2018-1333;CVE-2018-11763;CVE-2019-0217;CVE-2024-24795;CVE-2021-33193;CVE-2019-0211;CVE-2017-7668;CVE-2022-31813;CVE-2024-42516;CVE-2012-4360;CVE-2025-59775;CVE-2025-65082;CVE-2024-39573;CVE-2021-26690;CVE-2021-26691;CVE-2019-0220;CVE-2025-49812;CVE-2022-30556;CVE-2021-39275;CVE-2018-17189;CVE-2023-38709;CVE-2022-29404;CVE-2018-1312;CVE-2022-22720;CVE-2020-11993;CVE-2019-10092;CVE-2021-44224;CVE-2022-22721;CVE-2006-20001;CVE-2017-15710;CVE-2017-15715;CVE-2019-10098;CVE-2021-40438;CVE-2011-1176;CVE-2022-23943;CVE-2018-17199;CVE-2018-1301;CVE-2018-1302;CVE-2018-1303;CVE-2022-36760;CVE-2023-25690;CVE-2024-38477;CVE-2022-26377;CVE-2019-10081;CVE-2019-10082;CVE-2024-40898;CVE-2024-43204;CVE-2017-7659;CVE-2012-3526;CVE-2009-2299;CVE-2025-66200;CVE-2012-4001;CVE-2022-37436;CVE-2017-9788;CVE-2025-53020;CVE-2013-2765;CVE-2024-43394;CVE-2013-0941;CVE-2013-0942;CVE-2023-45802;CVE-2018-1283;CVE-2022-28615;CVE-2022-28614,self-signed,h2park-8d750cc5.infomaniak.ch,,1,Combo-squat: block
bo-shopify.com,,103.224.182.242,,,,,,1,Combo-squat: shopify
bragatel.pt,104.21.60.86,104.21.60.86,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: gate
bnetflix.com,,74.63.219.251,,,,,,1,Combo-squat: netflix
btsblock.com,,172.67.163.10,,,,,,1,Combo-squat: block
britishintelligence.co.uk,81.27.92.100,81.27.92.100,80;443,,,web.freeola.co.uk,,1,Combo-squat: intel
bogmail.top,,172.67.147.233,,,,,,1,Combo-squat: gmail
bybit4.com,,92.112.182.95,,,,,,1,Combo-squat: bybit
bybitd.com,172.67.165.85,172.67.165.85,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: bybit
bybitg.com,,104.21.70.183,,,,,,1,Combo-squat: bybit
bybitf.com,104.21.37.22,104.21.37.22,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,faktypilskie.pl,,1,Combo-squat: bybit
bybiti.com,,104.21.75.241,,,,,,1,Combo-squat: bybit
bybite.com,185.253.212.22,185.253.212.22,80;43;443,,self-signed,,,1,Combo-squat: bybit
bybitj.com,104.21.62.242,104.21.62.242,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: bybit
bybith.com,,172.67.185.221,,,,,,1,Combo-squat: bybit
bybitl.com,,104.21.54.91,,,,,,1,Combo-squat: bybit
bybito.com,172.67.166.34,172.67.166.34,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: bybit
bybitm.com,,104.21.19.58,,,,,,1,Combo-squat: bybit
bybitr.com,104.21.42.183,104.21.42.183,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: bybit
bybitw.com,,104.21.38.152,,,,,,1,Combo-squat: bybit
bybitu.com,172.67.207.232,172.67.207.232,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: bybit
bybitv.com,104.21.60.45,104.21.60.45,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: bybit
byzoometri.com,202.10.41.215,202.10.41.215,993;2082;587;2086;2087;2083;2095;3306;111;110;143;80;465;995;53;443;2096;2077;2079,,open-dir;database;starttls,cpanel.idlinkmedianet.biz.id;www.idlinkmedianet.biz.id;webmail.idlinkmedianet.biz.id;cpcalendars.idlinkmedianet.biz.id;khalidbinwalid.idlinkmedianet.biz.id;webdisk.idlinkmedianet.biz.id;cpcontacts.idlinkmedianet.biz.id;autodiscover.idlinkmedianet.biz.id;mail.idlinkmedianet.biz.id;idlinkmedianet.biz.id,,1,Combo-squat: zoom
byzoomania.my.id,84.32.84.32,84.32.84.32,80;443,,,,,1,Combo-squat: zoom
capitalone0.com,64.98.135.116,64.98.135.116,80,CVE-2023-44487;CVE-2019-9516;CVE-2025-23419;CVE-2019-9513;CVE-2019-9511;CVE-2021-23017;CVE-2021-3618;CVE-2019-20372;CVE-2018-16845,eol-product,,,1,Combo-squat: capitalone
capitaloneb.com,193.239.84.207,193.239.84.207,,,,,,1,Combo-squat: capitalone
capitalonew.com,64.98.135.17,64.98.135.17,80,,,,,1,Combo-squat: capitalone
capitaloner.com,148.72.171.192,148.72.171.192,80;8080;443;53,,,caprgrown.com;kathaleeliperesort.com,,1,Combo-squat: capitalone
capitalonej.com,103.224.182.239,103.224.182.239,80;443,,,xn--w0tq54f.com;lb-182-239.above.com;gcv.de;payescambiaclerk.com;shopnourish.online;microssft.com;atonline.com.au;staing.com,,1,Combo-squat: capitalone
ccapitalone.com,103.224.182.244,103.224.182.244,80;443,,,megamass.eu;pypl-xaviercarter.club;24ia.tech;my-soccer.club;xtream.vip;t2i.club;celularexpress.com;lb-182-244.above.com;ruyabet435.com,,1,Combo-squat: capitalone
citizensank.com,103.224.182.244,103.224.182.244,80;443,,,megamass.eu;pypl-xaviercarter.club;24ia.tech;my-soccer.club;xtream.vip;t2i.club;celularexpress.com;lb-182-244.above.com;ruyabet435.com,,1,Combo-squat: citi
citizensban.com,103.224.182.244,103.224.182.244,80;443,,,megamass.eu;pypl-xaviercarter.club;24ia.tech;my-soccer.club;xtream.vip;t2i.club;celularexpress.com;lb-182-244.above.com;ruyabet435.com,,1,Combo-squat: citi
