mx_host,domain_count,primary_asn
mx.mailhost12.net,113,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
blackhole.aftermarket.pl,113,"AS48707 (AS48707-OPS-PL - AS48707 OPS PL sp. z o.o., PL)"
reception01.mail-vert.fr,113,"AS16276 (OVH - OVH SAS, FR)"
em4.catchservers.com,111,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mxa-00169c01.gslb.pphosted.com,109,"AS22843 (PROOFPOINT-ASN-US-EAST - Proofpoint, Inc., US)"
em4.rejecthost.com,108,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.powered.name,106,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.mailpwr.com,106,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.mimimail.me,102,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.breakthur.com,101,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx10.antispam.mailspamprotection.com,100,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
em4.mainnetmail.com,98,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mail.xoxox.ooo,98,"AS63949 (AKAMAI-LINODE-AP - Akamai Connected Cloud, SG)"
w4.aerospaceemail.com,95,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
aero4.stememail.com,92,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
srv4.recoverhost.com,90,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx1.titan.email,90,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
mx01.mail.icloud.com,89,"AS714 (APPLE-ENGINEERING - Apple Inc., US)"
mail4.outsideserver.com,88,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
in.mail.tm,83,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
recv100.erinn.biz,82,"AS7506 (GMO-I-R1 - GMO Internet, Inc., JP)"
mail1.mailcore.email,79,"AS57043 (HOSTKEY-AS - HOSTKEY B.V., NL)"
mail1.namebrightmail.com,78,"AS12025 (IMDC-AS12025 - Iron Mountain Data Center, US)"
fr.priyohost.net,77,"AS16276 (OVH - OVH SAS, FR)"
mx.generic-isp.com,75,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx1.mail.ovh.net,73,"AS16276 (OVH - OVH SAS, FR)"
fwd1.porkbun.com,72,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
coloa4.hubblehost.com,72,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mainmx4.darkprobe.com,68,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.zoho.eu,68,"AS205111 (ZOHO-EU - ZOHO Corporation B.V, NL)"
email-fake.com,67,"AS30886 (KOMITEX-AS - PP KOM i TEX, UA)"
mxbiz1.qq.com,66,"AS9304 (HUTCHISON-AS-AP - HGC Global Communications Limited, HK)"
mail2.namebrightmail.com,63,"AS12025 (IMDC-AS12025 - Iron Mountain Data Center, US)"
mx00.ionos.com,62,"AS8560 (IONOS-AS - IONOS SE, DE)"
mx.hover.com.cust.hostedemail.com,62,"AS15348 (TUCOWS - Tucows.com Co., CA)"
mail.computer.com,61,"AS199524 (GCORE - G-Core Labs S.A., LU)"
mx2.forwardemail.net,60,"AS60068 (CDN77 - Datacamp Limited, GB)"
inbound-smtp.us-west-2.amazonaws.com,59,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
dca4.patternemail.com,58,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.discard.email,57,"AS197540 (netcup-AS - netcup GmbH, DE)"
mail.wallywatts.com,57,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mail.mailscr.us,56,"AS51167 (CONTABO - Contabo GmbH, DE)"
mogenmail.com,56,"AS213702 (QWINS-LTD - QWINS LTD, GB)"
mx1-us1.ppe-hosted.com,55,"AS22843 (PROOFPOINT-ASN-US-EAST - Proofpoint, Inc., US)"
mx.tmail.delivery,53,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mail.hope-mail.com,53,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
