domain,priority,reason,flame_tp_ids
77pinas.net,0,FLAME:TP-0001,TP-0001
79f.info,0,FLAME:TP-0001,TP-0001
79mgame.info,0,FLAME:TP-0001,TP-0001
79ok.info,0,FLAME:TP-0001,TP-0001
7f9k.dpdns.org,0,FLAME:TP-0002,TP-0002
7friv.com,0,FLAME:TP-0001,TP-0001
7ggg.info,0,FLAME:TP-0001,TP-0001
7go.info,0,FLAME:TP-0001,TP-0001
7kfortuneflow.top,0,FLAME:TP-0001,TP-0001
7na6i7d.crankymonkey.info,0,FLAME:TP-0004,TP-0004
7tirangagame.info,0,FLAME:TP-0003,TP-0003
7um3.crankymonkey.info,0,FLAME:TP-0004,TP-0004
7vhwimk.crankymonkey.info,0,FLAME:TP-0004,TP-0004
80jilinet.com,0,FLAME:TP-0001,TP-0001
814563.xyz,0,FLAME:TP-0001,TP-0001
814565.xyz,0,FLAME:TP-0001,TP-0001
814566.xyz,0,FLAME:TP-0001,TP-0001
817gmail.com,0,FLAME:TP-0001,TP-0001
82jlcom.net,0,FLAME:TP-0001,TP-0001
847gmail.com,0,FLAME:TP-0001,TP-0001
88122.xyz,0,FLAME:TP-0001,TP-0001
881bet777.com,0,FLAME:TP-0001,TP-0001
88hotmail.com,0,FLAME:TP-0001,TP-0001
8hhcuv7.crankymonkey.info,0,FLAME:TP-0004,TP-0004
8mhe6q1.crankymonkey.info,0,FLAME:TP-0004,TP-0004
8sqi0rl.crankymonkey.info,0,FLAME:TP-0004,TP-0004
8tzdj9i.crankymonkey.info,0,FLAME:TP-0004,TP-0004
91026.club,0,FLAME:TP-0015,TP-0015
94xtyktqtgsw7c7ljxx.co.cc,0,FLAME:TP-0015,TP-0015
963gmail.com,0,FLAME:TP-0001,TP-0001
96553b.com,0,FLAME:TP-0004,TP-0004
96553c.com,0,FLAME:TP-0004,TP-0004
96553d.com,0,FLAME:TP-0004,TP-0004
96553w.com,0,FLAME:TP-0004,TP-0004
96553x.com,0,FLAME:TP-0004,TP-0004
966rh.org,0,FLAME:TP-0004,TP-0004
966rschool.org,0,FLAME:TP-0004,TP-0004
987bet7.net,0,FLAME:TP-0001,TP-0001
9899089.com,0,FLAME:TP-0002,TP-0002
9899090.com,0,FLAME:TP-0002,TP-0002
99129.xyz,0,FLAME:TP-0010,TP-0010
99183.xyz,0,FLAME:TP-0010,TP-0010
99253.xyz,0,FLAME:TP-0001,TP-0001
99278.xyz,0,FLAME:TP-0001,TP-0001
99491.xyz,0,FLAME:TP-0001,TP-0001
a-cmotors.ru,0,FLAME:TP-0004,TP-0004
a.addrs.cc,0,FLAME:TP-0002,TP-0002
a5gamebr.com,0,FLAME:TP-0004,TP-0004
a97bet.info,0,FLAME:TP-0004,TP-0004
aa123bet.info,0,FLAME:TP-0004,TP-0004
aaa-chemicals.com,0,FLAME:TP-0004,TP-0004
aaa117.com,0,FLAME:TP-0004,TP-0004
aaabet1.info,0,FLAME:TP-0004,TP-0004
aaaph.info,0,FLAME:TP-0004,TP-0004
aalianz.com,0,FLAME:TP-0001,TP-0001
aasso.com,0,FLAME:TP-0001,TP-0001
abdcart.shop,0,FLAME:TP-0010,TP-0010
abdgoalys.store,0,FLAME:TP-0010,TP-0010
abu.sytes.net,0,FLAME:TP-0010,TP-0010
ac-jk.com,0,FLAME:TP-0010,TP-0010
accommodate.top,0,FLAME:TP-0002,TP-0002
ajgmail.com,0,FLAME:TP-0001,TP-0001
ajinimoto.me,0,FLAME:TP-0001,TP-0001
aliasaddress.com,0,FLAME:TP-0006,TP-0006
aliasvault.net,0,FLAME:TP-0006,TP-0006
alibaba4india.online,0,FLAME:TP-0001,TP-0001
alibirelax.ru,0,FLAME:TP-0004,TP-0004
alica.it,0,FLAME:TP-0004,TP-0004
alicemchard.com,0,FLAME:TP-0004,TP-0004
alieas.nl,0,FLAME:TP-0004,TP-0004
aliens.onl,0,FLAME:T.0002,T.0002
alifestyle.ru,0,FLAME:TP-0005,TP-0005
alihanlab.com,0,FLAME:TP-0004,TP-0004
alihkan.com,0,FLAME:TP-0004,TP-0004
alilot.com,0,FLAME:TP-0006,TP-0006
alilyaflix.site,0,FLAME:TP-0004,TP-0004
alimli15.site,0,FLAME:TP-0008,TP-0008
alimoda.ru,0,FLAME:TP-0004,TP-0004
alininja.anonaddy.com,0,FLAME:TP-0006,TP-0006
aliquippatirepros.com,0,FLAME:TP-0004,TP-0004
alisonebright.com,0,FLAME:TP-0004,TP-0004
alitma.com,0,FLAME:T.0002,T.0002
alivance.com,0,FLAME:TP-0004,TP-0004
all-file.site,0,FLAME:T.0002,T.0002
all-mail.net,0,FLAME:T.0002,T.0002
all-mychildren.com,0,FLAME:T.0002,T.0002
all-online-casino-games.com,0,FLAME:TP-0007,TP-0007
all.marksypark.com,0,FLAME:T.0002,T.0002
all1n1.com,0,FLAME:T.0002,T.0002
allaboutdogstraining.com,0,FLAME:T.0002,T.0002
allainiche.com,0,FLAME:T.0002,T.0002
allamericanmiss.com,0,FLAME:T.0002,T.0002
allanimal.ru,0,FLAME:T.0002,T.0002
allartworld.com,0,FLAME:T.0002,T.0002
allegrafirm.com,0,FLAME:T.0002,T.0002
allgaiermogensen.com,0,FLAME:T.0002,T.0002
allincludedpuntacana.com,0,FLAME:T.0002,T.0002
alsfw5.bee.pl,0,FLAME:TP-0006,TP-0006
alsjegeloofd.com,0,FLAME:TP-0004,TP-0004
alt.one,0,FLAME:TP-0006,TP-0006
alta-klinik.com,0,FLAME:TP-0004,TP-0004
altacazuela.es,0,FLAME:TP-0005,TP-0005
altadviser.com,0,FLAME:TP-0002,TP-0002
altamed.com,0,FLAME:TP-0006,TP-0006
altamontespringspools.com,0,FLAME:TP-0006,TP-0006
altamotors.com,0,FLAME:TP-0002,TP-0002
altavista.it,0,FLAME:TP-0006,TP-0006
altavista.se,0,FLAME:TP-0006,TP-0006
alter.capital,0,FLAME:TP-0004,TP-0004
alternativa-ug.ru,0,FLAME:TP-0006,TP-0006
alternativapoteknorge.space,0,FLAME:TP-0001,TP-0001
alternavox.net,0,FLAME:TP-0006,TP-0006
altinbasaknesriyat.com,0,FLAME:TP-0002,TP-0002
altincasino.xyz,0,FLAME:TP-0006,TP-0006
altitud.group,0,FLAME:TP-0006,TP-0006
altitudesports.com,0,FLAME:TP-0006,TP-0006
altmails.com,0,FLAME:TP-0006,TP-0006
altoris.pl,0,FLAME:TP-0004,TP-0004
altostima.com,0,FLAME:TP-0002,TP-0002
altrucommunity.com,0,FLAME:TP-0004,TP-0004
altseason.online,0,FLAME:TP-0004,TP-0004
altxiv.com,0,FLAME:TP-0002,TP-0002
aluboats.com,0,FLAME:TP-0006,TP-0006
alula.me,0,FLAME:TP-0006,TP-0006
aluminiumboten.com,0,FLAME:TP-0006,TP-0006
aluminiumjon.com,0,FLAME:TP-0005,TP-0005
aluminiumplaat.net,0,FLAME:TP-0006,TP-0006
alumni.com,0,FLAME:TP-0006,TP-0006
alumnioffer.com,0,FLAME:TP-0002,TP-0002
aluumi.com,0,FLAME:TP-0002,TP-0002
alvechurchacousticroots.com,0,FLAME:TP-0002,TP-0002
always-dependable.com,0,FLAME:TP-0002,TP-0002
am-static.org,0,FLAME:TP-0006,TP-0006
am55d.com,0,FLAME:TP-0004,TP-0004
ambarbeauty.com,0,FLAME:TP-0007,TP-0007
ambassadorwe.us,0,FLAME:TP-0007,TP-0007
amberfield.icu,0,FLAME:TP-0007,TP-0007
ambient.cool,0,FLAME:TP-0007,TP-0007
ambismail.com,0,FLAME:TP-0001,TP-0001
ambm.com,0,FLAME:TP-0007,TP-0007
amdma.com,0,FLAME:TP-0007,TP-0007
amegan.net,0,FLAME:TP-0005,TP-0005
amentarianmail.com,0,FLAME:TP-0001,TP-0001
americanelectricsolutionsaz.com,0,FLAME:TP-0007,TP-0007
amphetaminapotek.com,0,FLAME:TP-0004,TP-0004
amt3security.com,0,FLAME:TP-0006,TP-0006
amthucvietnam.info,0,FLAME:TP-0005,TP-0005
amthucvn.net,0,FLAME:TP-0005,TP-0005
amz.vsmailpro.com,0,FLAME:TP-0006,TP-0006
an0nz.store,0,FLAME:TP-0006,TP-0006
anagotulsa.net,0,FLAME:TP-0006,TP-0006
anahiem.com,0,FLAME:TP-0001,TP-0001
anal.com,0,FLAME:TP-0008,TP-0008
analyticsmonster.com,0,FLAME:TP-0006,TP-0006
anatjosephtherapy.com,0,FLAME:TP-0009,TP-0009
andalanglobal.dev,0,FLAME:TP-0006,TP-0006
andrew375.eu.org,0,FLAME:T.0154,T.0154
androidevolutions.com,0,FLAME:TP-0001,TP-0001
androl.cfd,0,FLAME:TP-0001,TP-0001
angeles.live,0,FLAME:T.0157,T.0157
angelswat.xyz,0,FLAME:T.0157,T.0157
anghamy.com,0,FLAME:T.0157,T.0157
angka69.com,0,FLAME:T.0146,T.0146
angkajitu.site,0,FLAME:T.0146,T.0146
anglepoise-inc.com,0,FLAME:T.0146,T.0146
anglican.xyz,0,FLAME:T.0157,T.0157
angmail.com,0,FLAME:T.0157,T.0157
anhala.com,0,FLAME:T.0157,T.0157
appie.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
athem.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
b1of96u.com,0,FLAME:TP-0002,TP-0002
b3651111.com,0,FLAME:TP-0001,TP-0001
b52cocktail.com,0,FLAME:TP-0001,TP-0001
b52dangnhap.org,0,FLAME:TP-0001,TP-0001
b6vscarmen.com,0,FLAME:TP-0002,TP-0002
b7k.org,0,FLAME:TP-0001,TP-0001
babyfun.fun,0,FLAME:TP-0004,TP-0004
bacardi.cloudns.ph,0,FLAME:TP-0001,TP-0001
backity.com,0,FLAME:TP-0004,TP-0004
backlinkbuilder.biz,0,FLAME:TP-0003,TP-0003
binace.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
bitcoinexchange.cash,0,FP-0003: Crypto/Finance Fraud Co-hosting (conf: 70),TP-0017
blank.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 85),TP-0012
blockchainanddefinews.com,0,FP-0003: Crypto/Finance Fraud Co-hosting (conf: 70),TP-0017
bxbs.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
cbarato.vip,0,FLAME:TP-0002,TP-0002
cc272.net,0,FLAME:TP-0002,TP-0002
cc3770.com,0,FLAME:TP-0001,TP-0001
cc6ph4.org,0,FLAME:TP-0001,TP-0001
cceks.com,0,FLAME:TP-0002,TP-0002
cconsistwe.com,0,FLAME:TP-0002,TP-0002
cdfbhyu.site,0,FLAME:TP-0003,TP-0003
chise.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
