domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
1bank.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
1bankofamerica.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1bitmart.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
1block.xyz,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1bm.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
1bmo.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1bn.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
1brn.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1clck2.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
1clck2.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
1dm.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
1dobe.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1dp.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
1edger.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1fv.info,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
1fv.info,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
1htx.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1huntington.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1iquid.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
1lbm.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1llstate.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1ntel.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1ong.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1pple.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1rms.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
1uno.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1uro.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
1xbet-6uh.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
1xbet-hwj.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
1xbet-idu.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
1xbet-iwe.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
1xbet-jul.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
1xbet-lwz.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
1xbet-urx.top,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
1zl.org,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~b-io.co
2-ctrl.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
2005euballoons.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
2012-2016.ru,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
2012-2016.ru,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
206806.com,FP-0011,IP-KVM / Remote-Management Exposure,60,,rmm_detected=yes
20minutos.ws,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~hope-mail.com
21212222.xyz,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,95,TP-0001,primary_mx~eye-mail.net
2266av.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
2266av.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
24mail.json.cm,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
24mail.json.cm,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
2700.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
282gmail.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
282gmail.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
28941.cc,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
2adp.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
2allstate.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
2amazon.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
2apple.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
2athens.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
