ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
103.1.213.139,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.1.213.163,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.101.163.22,dea_domains_probed.csv,AS131353,False,,False,,,2026-08-23
103.102.234.200,dea_domains_probed.csv,AS137035,False,,False,,,2026-08-23
103.102.234.249,dea_domains_probed.csv,AS137035,False,,False,,,2026-08-23
103.102.246.3,vpn_relay_ips.csv,AS203020,False,,False,,,2026-08-23
103.102.247.127,vpn_relay_ips.csv,AS203020,False,,False,,,2026-08-23
103.102.247.3,vpn_relay_ips.csv,AS203020,False,,False,,,2026-08-23
103.106.104.46,dea_domains_probed.csv,AS150825,False,,False,,,2026-08-23
103.106.251.48,dea_domains_probed.csv,AS55720,False,,False,,,2026-08-23
103.107.196.235,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.196.243,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.107,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.115,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.123,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.131,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.139,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.75,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.83,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.91,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.197.99,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.107.205.84,dea_domains_probed.csv,AS137292,False,,False,,,2026-08-23
103.107.226.226,dea_domains_probed.csv,AS136133,False,,False,,,2026-08-23
103.108.231.50,vpn_relay_ips.csv,AS136557,False,,False,,,2026-08-23
103.108.231.66,vpn_relay_ips.csv,AS136557,False,,False,,,2026-08-23
103.11.101.166,dea_domains_probed.csv,AS132056,False,,False,,,2026-08-23
103.11.189.189,dea_domains_probed.csv,AS38719,False,,False,,,2026-08-23
103.11.64.176,dea_domains_probed.csv,AS7489,False,,False,,,2026-08-23
103.110.128.71,dea_domains_probed.csv,AS150846,False,,False,,,2026-08-23
103.112.173.173,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-23
