domain,phishtank_match,phishtank_url,urlhaus_match,urlhaus_threat
about.me,True,https://about.me/eserrfgf,,
docs.google.com,True,https://docs.google.com/drawings/d/1bBJOSpjOiUtHENblINa4-ZXPD5fr34BUfHhIMlDm-uc/edit,True,malware_download
raja69toto.com,True,https://raja69toto.com/P7A4mbw2.html,,
telegra.ph,True,https://telegra.ph/BT-Business-updates2024-12-21,,
