domain,primary_mx,mx_ip,asn,asn_name,bgp_prefix,cc,registry,mx_records,error
087gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
08gmail.com,mx37.mb5p.com,164.90.197.105,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
090gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
0cindcywrokv.cf,,,,,,,,,
091gmail.com,mail4.outsideserver.com,146.190.210.201,14061,"DIGITALOCEAN-ASN, US",146.190.208.0/20,US,arin,0 mail4.outsideserver.com;10 mx4.outsideserver.com,
0cindcywrokv.ga,,,,,,,,,
0cindcywrokv.gq,,,,,,,,,
093gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
0cindcywrokv.ml,,,,,,,,,
095gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
096gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
099gmail.com,mail4.outsideserver.com,146.190.210.201,14061,"DIGITALOCEAN-ASN, US",146.190.208.0/20,US,arin,0 mail4.outsideserver.com;10 mx4.outsideserver.com,
097gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
09gmail.com,mx37.mb5p.com,147.182.189.184,14061,"DIGITALOCEAN-ASN, US",147.182.176.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
098gmail.com,la4.inquirymailer.com,146.190.70.150,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,1 la4.inquirymailer.com;10 ny4.inquirymailer.com,
0clickemail.com,,,,,,,,,
0clock.net,,,,,,,,,
0cindcywrokv.tk,,,,,,,,,
0costofivf.com,,,,,,,,,
0accounts.com,web-lax-1.axfra.net,157.250.206.247,26666,"INTERSERVER-LAX, US",157.250.206.0/23,US,arin,10 web-lax-1.axfra.net,
0cv23qjrvmcpt.gq,,,,,,,,,
0cv23qjrvmcpt.ga,,,,,,,,,
0cv23qjrvmcpt.ml,,,,,,,,,
0ak.org,mx01.ionos.com,74.208.5.21,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",74.208.0.0/16,US,arin,10 mx01.ionos.com;10 mx00.ionos.com,
0cv23qjrvmcpt.cf,,,,,,,,,
0cv23qjrvmcpt.tk,,,,,,,,,
0dkjwe.igg.biz,,,,,,,,,
0ehtkltu0sgd.ml,,,,,,,,,
0ehtkltu0sgd.ga,,,,,,,,,
0box.eu,smtp.trashmail.com,157.90.89.149,24940,"HETZNER-AS, DE",157.90.0.0/16,DE,ripencc,0 smtp.trashmail.com,
0ehtkltu0sgd.tk,,,,,,,,,
0f590da1.bounceme.net,,,,,,,,,
0fru8te0xkgfptti.cf,,,,,,,,,
0box.net,hunterslaptop.0box.net,93.90.203.82,8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",93.90.192.0/20,GB,ripencc,0 hunterslaptop.0box.net,
0fru8te0xkgfptti.ga,,,,,,,,,
0fru8te0xkgfptti.ml,,,,,,,,,
0fru8te0xkgfptti.tk,,,,,,,,,
0celot.com,aspmx.l.google.com,142.250.9.26,15169,"GOOGLE, US",142.250.9.0/24,US,arin,1 aspmx.l.google.com;5 alt1.aspmx.l.google.com;5 alt2.aspmx.l.google.com;10 alt3.aspmx.l.google.com;10 alt4.aspmx.l.google.com,
0h26le75d.pl,,,,,,,,,
0fru8te0xkgfptti.gq,,,,,,,,,
0d00.com,,,,,,,,0 ,
0hio.net,,,,,,,,,
0hdear.com,,,,,,,,,
0hio.org,,,,,,,,,
0hio0ak.com,,,,,,,,,
0cd.cn,smtp.yopmail.com,87.98.164.155,16276,"OVH, FR",87.98.128.0/17,FR,ripencc,5 smtp.yopmail.com,
0hioln.com,,,,,,,,,
0ils.net,,,,,,,,,
0ils.org,,,,,,,,,
0ito9e.us,,,,,,,,,
0jralz2qipvmr3n.ga,,,,,,,,,
0jralz2qipvmr3n.ml,,,,,,,,,
0jylaegwalss9m6ilvq.cf,,,,,,,,,
0jralz2qipvmr3n.tk,,,,,,,,,
0jylaegwalss9m6ilvq.ga,,,,,,,,,
0jylaegwalss9m6ilvq.gq,,,,,,,,,
0jylaegwalss9m6ilvq.ml,,,,,,,,,
0clock.org,mx1.0clock.org,77.74.177.47,200107,"KL-EXT, CH",77.74.177.0/24,CH,ripencc,10 mx1.0clock.org;10 mx2.0clock.org,
0jylaegwalss9m6ilvq.tk,,,,,,,,,
0kok.net,,,,,,,,,
0kok.org,,,,,,,,,
0l7hym.igg.biz,,,,,,,,,
0ld0x.com,,,,,,,,,
0mfs0mxufjpcfc.ga,,,,,,,,,
0mfs0mxufjpcfc.gq,,,,,,,,,
0ll2au4c8.pl,,,,,,,,,
0mfs0mxufjpcfc.cf,,,,,,,,,
0mfs0mxufjpcfc.ml,,,,,,,,,
0eml.com,mx195.m1bp.com,147.182.189.184,14061,"DIGITALOCEAN-ASN, US",147.182.176.0/20,US,arin,1 mx195.m1bp.com;1 mx195.mb5p.com,
0mfs0mxufjpcfc.tk,,,,,,,,,
0n0ff.net,,,,,,,,,
0n24.com,,,,,,,,,
0nb9zti01sgz8u2a.cf,,,,,,,,,
0nb9zti01sgz8u2a.ga,,,,,,,,,
0nb9zti01sgz8u2a.gq,,,,,,,,,
0nb9zti01sgz8u2a.ml,,,,,,,,,
0nb9zti01sgz8u2a.tk,,,,,,,,,
0hboy.com,w4.aerospaceemail.com,146.190.78.66,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 w4.aerospaceemail.com;10 e4.aerospaceemail.com,
0nce.net,,,,,,,,,
0gyenlcce.dropmail.me,mx.dropmail.me,78.47.124.133,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,10 mx.dropmail.me,
0ne0ak.com,,,,,,,,,
0nedrive.cf,,,,,,,,,
0hcow.com,mxb.mailgun.org,34.160.13.42,396982,"GOOGLE-CLOUD-PLATFORM, US",34.160.0.0/16,US,arin,10 mxb.mailgun.org;10 mxa.mailgun.org,
0hiolce.com,mx6.emailowl.com,107.191.41.169,20473,"AS-VULTR, US",107.191.40.0/22,US,arin,0 mx6.emailowl.com;10 mx5.emailowl.com;20 mx4.emailowl.com,
0nedrive.ga,,,,,,,,,
0nedrive.gq,,,,,,,,,
0nedrive.ml,,,,,,,,,
0ioi.net,route2.mx.cloudflare.net,162.159.205.18,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,1 route2.mx.cloudflare.net;87 route3.mx.cloudflare.net;97 route1.mx.cloudflare.net,
0nes.org,,,,,,,,,
0nelce.com,,,,,,,,,
0nedrive.tk,,,,,,,,,
0oxgvfdufyydergd.cf,,,,,,,,,
0oxgvfdufyydergd.ga,,,,,,,,,
0oxgvfdufyydergd.gq,,,,,,,,,
0oxgvfdufyydergd.ml,,,,,,,,,
0oxgvfdufyydergd.tk,,,,,,,,,
0ld0ak.com,mx4.beavis99.com,195.201.18.63,24940,"HETZNER-AS, DE",195.201.0.0/16,DE,ripencc,0 mx4.beavis99.com;10 mx4.beavis99.net,
0p6c95.igg.biz,,,,,,,,,
0live.org,route3.mx.cloudflare.net,162.159.205.23,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,54 route3.mx.cloudflare.net;88 route2.mx.cloudflare.net;91 route1.mx.cloudflare.net,
0r0wfuwfteqwmbt.cf,,,,,,,,,
0mel.com,ereg4.brushemail.com,146.190.78.248,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 ereg4.brushemail.com;10 wreg4.brushemail.com,
0r0wfuwfteqwmbt.ga,,,,,,,,,
0r0wfuwfteqwmbt.gq,,,,,,,,,
0nrg.com,,,,,,,,0 ,
0mixmail.info,mx37.mb5p.com,164.90.197.162,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0r0wfuwfteqwmbt.tk,,,,,,,,,
0r0wfuwfteqwmbt.ml,,,,,,,,,
0regon.net,,,,,,,,,
0regon.org,,,,,,,,,
0tinak9zyvf.cf,,,,,,,,,
0tinak9zyvf.ga,,,,,,,,,
0tinak9zyvf.ml,,,,,,,,,
0ne.lv,mail0001.0ne.lv,78.47.37.138,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,5 mail0001.0ne.lv,
0tinak9zyvf.gq,,,,,,,,,
0ne0ut.com,route2.mx.cloudflare.net,162.159.205.18,13335,"CLOUDFLARENET, US",162.159.205.0/24,US,arin,42 route2.mx.cloudflare.net;80 route1.mx.cloudflare.net;99 route3.mx.cloudflare.net,
0tinak9zyvf.tk,,,,,,,,,
0to6oiry4ghhscmlokt.cf,,,,,,,,,
0to6oiry4ghhscmlokt.ga,,,,,,,,,
0nes.net,mx37.mb5p.com,147.182.160.18,14061,"DIGITALOCEAN-ASN, US",147.182.160.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0to6oiry4ghhscmlokt.ml,,,,,,,,,
0to6oiry4ghhscmlokt.gq,,,,,,,,,
0nly.org,mx37.mb5p.com,164.90.197.162,14061,"DIGITALOCEAN-ASN, US",164.90.192.0/20,US,arin,10 mx37.mb5p.com;20 mx37.m1bp.com,
0sx.ru,,,,,,,,,
0to6oiry4ghhscmlokt.tk,,,,,,,,,
0ulook.com,,,,,,,,,
0oing.higogoya.com,email-fake.com,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,5 email-fake.com,
0utln.com,,,,,,,,,
0uxpgdvol9n.cf,,,,,,,,,
0uxpgdvol9n.ga,,,,,,,,,
0uxpgdvol9n.gq,,,,,,,,,
0pppp.com,mx4.beavis99.net,188.245.74.208,24940,"HETZNER-AS, DE",188.245.0.0/16,DE,ripencc,0 mx4.beavis99.net;10 mx4.beavis99.com,
0uxpgdvol9n.ml,,,,,,,,,
0uxpgdvol9n.tk,,,,,,,,,
0wn3d.pl,,,,,,,,,
0wos8czt469.ga,,,,,,,,,
0wos8czt469.gq,,,,,,,,,
0ranges.com,mx5.emailowl.com,45.63.17.188,20473,"AS-VULTR, US",45.63.16.0/21,US,arin,10 mx5.emailowl.com;10 mx6.emailowl.com;10 mx4.emailowl.com,
0rdered.com,w4.aerospaceemail.com,146.190.78.66,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 w4.aerospaceemail.com;10 e4.aerospaceemail.com,
0rdering.com,ereg4.brushemail.com,146.190.78.248,14061,"DIGITALOCEAN-ASN, US",146.190.64.0/20,US,arin,0 ereg4.brushemail.com;10 wreg4.brushemail.com,
0wos8czt469.tk,,,,,,,,,
0wwkw9.igg.biz,,,,,,,,,
0x00.name,,,,,,,,,
0x000.cf,,,,,,,,,
0x000.ga,,,,,,,,,
0sg.net,gourmet7.spamgourmet.com,216.75.62.102,10439,"CARINET, US",216.75.0.0/18,US,arin,10 gourmet7.spamgourmet.com,
0x000.ml,,,,,,,,,
0rg.fr,mx1.mail.ovh.net,188.165.36.237,16276,"OVH, FR",188.165.0.0/16,FR,ripencc,1 mx1.mail.ovh.net;5 mx2.mail.ovh.net;100 mx3.mail.ovh.net,
0x000.gq,,,,,,,,,
0tires.com,mail.wabblywabble.com,188.166.111.252,14061,"DIGITALOCEAN-ASN, US",188.166.64.0/18,US,ripencc,10 mail.wabblywabble.com;10 mail.wallywatts.com,
0x01.gq,,,,,,,,,
0x01.tk,,,,,,,,,
0x02.cf,,,,,,,,,
0x02.ga,,,,,,,,,
0x02.gq,,,,,,,,,
0x02.ml,,,,,,,,,
0x02.tk,,,,,,,,,
0x03.cf,,,,,,,,,
0x03.ga,,,,,,,,,
0x03.ml,,,,,,,,,
0x03.gq,,,,,,,,,
0x207.info,,,,,,,,,
0x03.tk,,,,,,,,,
0za7vhxzpkd.cf,,,,,,,,,
0za7vhxzpkd.ga,,,,,,,,,
0za7vhxzpkd.gq,,,,,,,,,
0u.ro,0u.ro,5.196.143.43,16276,"OVH, FR",5.196.0.0/16,FR,ripencc,0 0u.ro,
0za7vhxzpkd.ml,,,,,,,,,
0za7vhxzpkd.tk,,,,,,,,,
0zc7eznv3rsiswlohu.cf,,,,,,,,,
0zc7eznv3rsiswlohu.ml,,,,,,,,,
0vomphqb.emlhub.com,mx.emlhub.com,78.47.124.133,24940,"HETZNER-AS, DE",78.46.0.0/15,DE,ripencc,10 mx.emlhub.com,
0zc7eznv3rsiswlohu.tk,,,,,,,,,
0zspgifzbo.cf,,,,,,,,,
0wnd.org,gourmet7.spamgourmet.com,216.75.62.102,10439,"CARINET, US",216.75.0.0/18,US,arin,10 gourmet7.spamgourmet.com,
0wnd.net,gourmet7.spamgourmet.com,216.75.62.102,10439,"CARINET, US",216.75.0.0/18,US,arin,10 gourmet7.spamgourmet.com,
0zspgifzbo.ga,,,,,,,,,
0v.ro,0v.ro,5.196.143.43,16276,"OVH, FR",5.196.0.0/16,FR,ripencc,0 0v.ro,
0zspgifzbo.gq,,,,,,,,,
0zspgifzbo.tk,,,,,,,,,
0zspgifzbo.ml,,,,,,,,,
0w.ro,0w.ro,5.196.143.43,16276,"OVH, FR",5.196.0.0/16,FR,ripencc,0 0w.ro,
1-8.biz,,,,,,,,,
1-million-rubley.xyz,,,,,,,,,
1-up.ga,,,,,,,,,
1-up.cf,,,,,,,,,
1-up.gq,,,,,,,,,
1-up.ml,,,,,,,,,
1-up.tk,,,,,,,,,
1.a.z.1.gmail.i.0.83.y.9.aiot.ptcu.dev,,,,,,,,,
1.atm-mi.cf,,,,,,,,,
1.atm-mi.ga,,,,,,,,,
1.atm-mi.ml,,,,,,,,,
1.atm-mi.gq,,,,,,,,,
1.batikbantul.com,,,,,,,,,
1.atm-mi.tk,,,,,,,,,
1.bestsitetoday.website,,,,,,,,,
1.emaile.org,,,,,,,,,
1.emailfake.ml,,,,,,,,,
1-tm.com,,,,,,,,0 ,
1.kerl.cf,,,,,,,,,
1.fackme.gq,,,,,,,,,
1.supere.ml,,,,,,,,,
10-minute-mail.com,,,,,,,,,
10-minute-mail.de,,,,,,,,,
10.laste.ml,,,,,,,,,
10.dns-cloud.net,,,,,,,,,
10-tube.ru,,,,,,,,,
0xmiikee.com,emailfake.com,91.196.52.205,30886,"KOMITEX-AS, UA",91.196.52.0/24,UA,ripencc,1 emailfake.com,
100000077764194.igg.biz,,,,,,,,,
100000092390343.igg.biz,,,,,,,,,
100000104499299.igg.biz,,,,,,,,,
100000131199120.igg.biz,,,,,,,,,
100000137380775.igg.biz,,,,,,,,,
100000180610960.igg.biz,,,,,,,,,
100000157680473.igg.biz,,,,,,,,,
100000182660959.igg.biz,,,,,,,,,
100000388631904.igg.biz,,,,,,,,,
100000643902757.igg.biz,,,,,,,,,
100000541855334.igg.biz,,,,,,,,,
100008318651130.igg.biz,,,,,,,,,
10-minuten-mail.de,,,,,,,,,
1000gay.com,,,,,,,,,
100024428117075.igg.biz,,,,,,,,,
10000websites.miasta.pl,,,,,,,,,
100000080419180.usa.cc,,,,,,,,,
1-3-3-7.net,mx6.4-speed.net,68.142.140.189,13649,"ASN-FLEXENTIAL, US",68.142.140.0/22,US,arin,10 mx6.4-speed.net,
1000kti.xyz,,,,,,,,,
