ASN,Name,Country
AS205388,"SERVERDISCOUNTER serverdiscounter.com, DE",DE
AS15557,"LDCOMNET --- I3Dnet ---, FR",FR
AS21409,"IKOULA, FR",FR
AS21337,"UBBNET, BG",BG
AS210218,"OPENFIBER-ITALY, IT",IT
AS42473,"AS-ANEXIA ANEXIA Internetdienstleistungs GmbH, AT",AT
AS10242,"USINTERNET, US",US
AS39727,"ZZI-AS ZZIs AS Number, SI",SI
AS8648,"ONE-NETWORK, DE",DE
AS19764,"GEORGIAN-COLLEGE-ASN, CA",CA
AS3352,"TELEFONICA_DE_ESPANA, ES",ES
AS26548,"PUREVOLTAGE-INC, US",US
AS197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",AL
AS611,"NECN-1-611, CA",CA
AS4760,"HKTIMS-AP HKT Limited, HK",HK
AS43557,"ASEMNET, DK",DK
AS20115,"CHARTER-20115, US",US
AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",SE
AS9031,"EDPNETAPP, BE",BE
AS11492,"CABLEONE, US",US
AS202131,"WAVE-NET, CZ",CZ
AS27176,"DATAWAGON, US",US
AS13037,"ZEN-AS Zen Internet - UK, GB",GB
AS39771,"RVI, FR",FR
AS26832,"RICAWEBSERVICES, CA",CA
AS399532,"ULAYER-AS, US",US
AS26381,"HSBC-COM, US",US
AS39835,"GOETEL, DE",DE
AS542,"ARNET, CA",CA
AS48,"DNIC-AS-00048, US",US
AS203727,"BYON, DE",DE
AS40029,"NOVUS-3, CA",CA
AS39962,"PRETECS, CA",CA
AS7506,"INTERQ GMO Internet Group, Inc., JP",JP
AS4459,"KDDIA-NET, US",US
AS16302,"SUOMICOMMUNICATIONS, FI",FI
AS2024,"NU, US",US
AS252,"DNIC-AS-00252, US",US
AS46844,"SHARKTECH, US",US
AS21130,"IOMART-IE, GB",GB
AS20791,"BITPOINT-AS, DE",DE
AS2015,"MSEN-SYSTEM, US",US
AS62744,"QUINTEX, US",US
AS5719,"SUNYSB, US",US
AS44716,"DHOSTING-NET, DE",DE
AS39572,"ADVANCEDHOSTERS-AS, NL",NL
AS20572,"GIESECKE Prinzregentenstr. 159, DE",DE
AS20845,"DIGICABLE, HU",HU
AS60251,,
AS141968,"IDNIC-IKADA-AS-ID PT Industri Kreatif Digital, ID",ID
AS210558,"SERVICES-1337-GMBH 1337-SERVICES-GMBH-NETWORK, DE",DE
AS42708,"GLESYS glesys.com, SE",SE
AS897,"TURTLE-ROCK-STUDIOS, US",US
AS3938,"NTTA-3936, US",US
AS8943,"JUMP, GB",GB
AS137085,"ANI89-AS-IN ANO Broadband Service Pvt Ltd, IN",IN
AS202401,"WEBHOSTING24-AS Webhosting24 GmbH, DE",DE
AS205100,"F3NETZE, DE",DE
AS4764,"WIDEBAND-AS-AP Aussie Broadband, AU",AU
AS21323,"ERSTEBANK Rijeka, Croatia, HR",HR
AS45045,"GOODNET-AS, UA",UA
AS22047,"VTR BANDA ANCHA S.A., CL",CL
AS3265,"XS4ALL-NL Amsterdam, NL",NL
AS29,"YALE-AS, US",US
AS20464,"HP-POLY, US",US
AS39798,"MIVOCLOUD, MD",MD
AS8916,"PORTFAST, GB",GB
AS6199,"COOPERUNION, US",US
AS12392,"ASVOO VOO S.A., BE",BE
AS3209,"VODANET International IP-Backbone of Vodafone, DE",DE
AS12767,"PRAGONET-AS, CZ",CZ
AS31334,"KABELDEUTSCHLAND-AS, DE",DE
AS17506,"UCOM ARTERIA Networks Corporation, JP",JP
AS38136,"AKARI-NETWORKS-AS-AP Akari Networks, HK",HK
AS205399,"HOSTIGGER, US",US
AS19148,"LEASEWEB-USA-PHX, US",US
AS167,"WESLEYAN-AS, US",US
AS399820,"ATOMIC-NETWORKS-1, US",US
AS43513,"NANO-AS, LV",LV
AS15626,"GF-UA, US",US
AS198385,"ALPINEDC, CH",CH
AS37611,"AFRIHOST-SP, ZA",ZA
AS3060,"SC-YORKTECH, US",US
AS41108,"FIRSTROOT-AS, DE",DE
AS7489,"HOSTUS-GLOBAL-AS HostUS, HK",HK
AS16,"LBL, US",US
AS46887,"CROWNCASTLE-AS46887, US",US
AS6142,"SUN-JAVA, US",US
AS211882,"AQUILENET, FR",FR
AS135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK
AS47610,"RWTH-AS, DE",DE
AS28753,"LEASEWEB-DE-FRA-10, DE",DE
AS59253,"LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD., SG",SG
AS9443,"VOCUS-RETAIL-AU Vocus Retail, AU",AU
AS60571,"AS60571, DE",DE
AS35041,"NET-BINERO-STHLM1, SE",SE
AS63,"LL-MI, US",US
AS3,"MIT-GATEWAYS, US",US
AS42487,"VIALIS-MOSELLE Located in Metz, France, FR",FR
AS680,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE",DE
AS340,"DNIC-ASBLK-00306-00371, US",US
AS5638,"BREWER-SCIENCE, US",US
AS1101,"IP-EEND-AS IP-EEND BV, NL",NL
AS2161,"HPINC, US",US
AS286,"KPN, US",US
AS8151,"UNINET, MX",MX
AS200052,"FERAL Feral Hosting, GB",GB
AS39614,"DAWICO, DE",DE
AS4685,"ASAHI-NET Asahi Net, JP",JP
AS673,"DNIC-AS-00673, US",US
AS33657,"CMCS, US",US
AS44820,"TUTHOST, UA",UA
AS9008,"ASN-VO Visual Online S.A. Luxembourg, LU",LU
AS17676,"GIGAINFRA SoftBank Corp., JP",JP
AS15958,"CETIN_DOO_AS CETINdoo-NET, RS",RS
AS337,"DNIC-ASBLK-00306-00371, US",US
AS209,"CENTURYLINK-US-LEGACY-QWEST, US",US
AS33,"HPINC, US",US
AS20130,"DEPAUL, US",US
AS3786,"LGDACOM LG DACOM Corporation, KR",KR
AS5378,"Vodafone, GB",GB
AS2164,"HPINC, US",US
AS33796,"BNAA-AS, DK",DK
AS47,"USC-AS, US",US
AS1024,"CANAD112, CA",CA
AS49,"US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US",US
AS37218,"University-of-Dodoma, TZ",TZ
AS41608,"NEXTGENWEBS-NL, ES",ES
AS36493,"295CA-TOR-ASN, CA",CA
AS31736,"SENSELAN-AS senseLAN GmbH, CH",CH
AS5572,"BOTIK Public network of Pereslavl-Zalessky, RU",RU
AS400304,"CRUNCHBITS, US",US
AS409,"AFCONC-BLOCK1-AS, US",US
AS559,"SWITCH Switch, Swiss Academic and Research Network, CH",CH
AS13124,"A1BG_RSD, BG",BG
AS22989,"FREEASINFREEDOM, US",US
AS15502,"VODAFONE-IRELAND-ASN, IE",IE
AS903,"UNIFIED-COMMUNICATIONS-TECHNOLOGIES, US",US
AS42621,"LPOK-AS, FI",FI
AS2033,"PANIX, US",US
AS8829,"ELMONET-AS, FI",FI
AS1315,"IPFS, US",US
AS5632,"GORDONCOLLEGE, US",US
AS19861,"WCBE, US",US
AS149440,"EVOXTENTERPRISE-AS-AP Evoxt Enterprise, MY",MY
AS48678,"TR-PENTECH-AS, TR",TR
AS3491,"CONSOLE-CONNECT-ASN, US",US
AS202422,"GHOST, LU",LU
AS63806,"MENHERA Human-life Information Platforms Institute, JP",JP
AS199967,"THINK-HUGE, HK",HK
AS693,"NOTRE-DAME-AS, US",US
AS15735,"DATASTREAM-NET, MT",MT
AS15600,"QUICKLINE Quickline AG, CH",CH
