status,count
200,7919
403,720
404,358
500,68
503,57
530,40
525,28
521,26
520,21
526,20
400,16
429,16
502,14
401,12
409,10
523,10
444,8
402,8
410,3
202,3
522,3
999,2
432,2
443,2
501,2
702,1
423,1
406,1
415,1
434,1
405,1
