relay_hostname,ingress_ip,exit_ip,probe_date
de-fra-wg-003,185.209.196.73,185.209.196.130,2026-07-07
de-fra-wg-004,185.209.196.74,185.209.196.151,2026-07-07
de-fra-wg-005,185.209.196.75,185.209.196.172,2026-07-07
de-fra-wg-006,185.209.196.76,185.209.196.193,2026-07-07
de-fra-wg-007,185.209.196.77,185.209.196.214,2026-07-07
de-fra-wg-008,185.209.196.78,185.209.196.235,2026-07-07
de-fra-wg-009,185.213.155.72,185.213.155.198,2026-07-07
de-fra-wg-101,146.70.117.2,146.70.117.27,2026-07-07
de-fra-wg-102,146.70.117.130,146.70.117.155,2026-07-07
de-fra-wg-103,135.136.19.2,135.136.19.27,2026-07-07
de-fra-wg-104,135.136.19.130,135.136.19.155,2026-07-07
de-fra-wg-301,194.36.25.3,194.36.25.4,2026-07-07
de-fra-wg-303,194.36.25.33,194.36.25.34,2026-07-07
de-fra-wg-401,169.150.201.2,169.150.201.3,2026-07-07
de-fra-wg-402,169.150.201.15,169.150.201.16,2026-07-07
de-fra-wg-403,169.150.201.28,169.150.201.29,2026-07-07
dk-cph-wg-001,45.129.56.67,45.129.56.131,2026-07-07
dk-cph-wg-002,45.129.56.68,45.129.56.195,2026-07-07
dk-cph-wg-102,149.88.109.73,158.173.46.118,2026-07-07
dk-cph-wg-401,146.70.197.194,146.70.197.195,2026-07-07
dk-cph-wg-402,146.70.197.130,146.70.197.131,2026-07-07
ee-tll-wg-001,194.127.167.67,194.127.167.68,2026-07-07
ee-tll-wg-002,194.127.167.87,194.127.167.88,2026-07-07
ee-tll-wg-003,194.127.167.107,194.127.167.108,2026-07-07
es-bcn-wg-001,185.188.61.195,185.188.61.196,2026-07-07
es-bcn-wg-002,185.188.61.225,185.188.61.226,2026-07-07
es-bcn-wg-101,185.253.99.30,146.70.22.131,2026-07-07
es-bcn-wg-102,185.253.99.98,146.70.22.195,2026-07-07
es-mad-wg-101,45.134.213.194,45.134.213.195,2026-07-07
es-mad-wg-102,45.134.213.207,45.134.213.208,2026-07-07
es-mad-wg-201,146.70.128.194,146.70.128.195,2026-07-07
es-mad-wg-202,146.70.128.226,146.70.128.227,2026-07-07
es-vlc-wg-001,193.19.207.195,193.19.207.196,2026-07-07
es-vlc-wg-002,193.19.207.225,193.19.207.226,2026-07-07
fi-hel-wg-001,185.204.1.203,185.77.218.2,2026-07-07
fi-hel-wg-002,185.204.1.211,185.204.1.178,2026-07-07
fi-hel-wg-003,185.204.1.219,185.204.1.179,2026-07-07
fi-hel-wg-101,193.138.7.137,193.138.7.138,2026-07-07
fi-hel-wg-102,193.138.7.157,193.138.7.158,2026-07-07
fi-hel-wg-103,193.138.7.177,193.138.7.178,2026-07-07
fi-hel-wg-104,193.138.7.197,193.138.7.198,2026-07-07
fi-hel-wg-201,185.65.133.5,185.65.133.9,2026-07-07
fi-hel-wg-202,185.65.133.85,185.65.133.89,2026-07-07
fi-hel-wg-203,185.65.133.165,185.65.133.169,2026-07-07
fr-bod-wg-001,45.134.79.67,45.134.79.68,2026-07-07
fr-bod-wg-002,45.134.79.97,45.134.79.98,2026-07-07
fr-mrs-wg-001,138.199.15.162,138.199.15.163,2026-07-07
fr-mrs-wg-002,138.199.15.146,138.199.15.147,2026-07-07
fr-par-wg-001,193.32.126.66,193.32.126.211,2026-07-07
fr-par-wg-002,193.32.126.67,193.32.126.217,2026-07-07
fr-par-wg-003,193.32.126.68,193.32.126.223,2026-07-07
fr-par-wg-004,193.32.126.69,193.32.126.229,2026-07-07
fr-par-wg-006,193.32.126.84,193.32.126.161,2026-07-07
fr-par-wg-007,193.32.126.83,193.32.126.151,2026-07-07
fr-par-wg-101,146.70.184.2,146.70.184.33,2026-07-07
fr-par-wg-103,185.244.213.2,185.244.213.33,2026-07-07
fr-par-wg-301,95.173.222.2,95.173.222.6,2026-07-07
fr-par-wg-302,95.173.222.31,95.173.222.34,2026-07-07
gb-glw-wg-001,185.201.188.3,185.201.188.4,2026-07-07
gb-glw-wg-002,185.201.188.33,185.201.188.34,2026-07-07
gb-lon-wg-001,141.98.252.130,141.98.252.190,2026-07-07
gb-lon-wg-002,141.98.252.222,141.98.252.242,2026-07-07
gb-lon-wg-003,185.195.232.66,185.195.232.131,2026-07-07
gb-lon-wg-004,185.195.232.67,185.195.232.141,2026-07-07
gb-lon-wg-005,185.195.232.68,185.195.232.151,2026-07-07
gb-lon-wg-006,185.195.232.69,185.195.232.161,2026-07-07
gb-lon-wg-007,185.195.232.70,185.195.232.171,2026-07-07
gb-lon-wg-008,141.98.252.138,141.98.252.198,2026-07-07
gb-lon-wg-201,185.248.85.3,185.248.85.4,2026-07-07
gb-lon-wg-202,185.248.85.18,185.248.85.19,2026-07-07
gb-lon-wg-203,185.248.85.33,185.248.85.34,2026-07-07
gb-lon-wg-204,185.248.85.48,185.248.85.49,2026-07-07
gb-lon-wg-305,146.70.119.2,146.70.119.33,2026-07-07
gb-lon-wg-308,135.136.58.130,135.136.58.161,2026-07-07
gb-mnc-wg-001,146.70.132.2,146.70.132.27,2026-07-07
gb-mnc-wg-004,135.136.21.2,135.136.21.33,2026-07-07
gb-mnc-wg-201,167.160.13.3,167.160.13.20,2026-07-07
gb-mnc-wg-202,167.160.13.127,167.160.13.146,2026-07-07
gr-ath-wg-101,149.102.246.2,149.102.246.3,2026-07-07
gr-ath-wg-102,149.102.246.15,149.102.246.16,2026-07-07
hk-hkg-wg-201,103.125.233.18,103.125.233.17,2026-07-07
hk-hkg-wg-301,146.70.224.2,146.70.224.3,2026-07-07
hk-hkg-wg-302,146.70.224.66,146.70.224.67,2026-07-07
hk-hkg-wg-303,146.70.224.196,146.70.224.197,2026-07-07
hr-zag-wg-001,154.47.29.2,154.47.29.3,2026-07-07
hr-zag-wg-002,154.47.29.15,154.47.29.16,2026-07-07
hu-bud-wg-101,146.70.196.194,146.70.196.195,2026-07-07
hu-bud-wg-102,146.70.196.130,146.70.196.131,2026-07-07
hu-bud-wg-201,79.127.182.130,79.127.182.133,2026-07-07
hu-bud-wg-202,79.127.182.160,79.127.182.163,2026-07-07
id-jpu-wg-001,129.227.46.130,129.227.46.131,2026-07-07
id-jpu-wg-002,129.227.46.162,129.227.46.163,2026-07-07
ie-dub-wg-101,146.70.189.2,146.70.189.27,2026-07-07
ie-dub-wg-102,146.70.189.130,146.70.189.155,2026-07-07
il-tlv-wg-101,169.150.227.197,169.150.227.198,2026-07-07
il-tlv-wg-102,169.150.227.210,169.150.227.211,2026-07-07
il-tlv-wg-103,169.150.227.222,169.150.227.223,2026-07-07
it-mil-wg-001,178.249.211.66,178.249.211.67,2026-07-07
it-mil-wg-002,178.249.211.79,178.249.211.80,2026-07-07
it-mil-wg-003,178.249.211.92,178.249.211.93,2026-07-07
it-mil-wg-201,146.70.225.2,146.70.225.3,2026-07-07
it-mil-wg-202,146.70.225.66,146.70.225.67,2026-07-07
it-pmo-wg-001,149.22.91.66,149.22.91.67,2026-07-07
it-pmo-wg-002,149.22.91.79,149.22.91.80,2026-07-07
jp-osa-wg-001,194.114.136.3,194.114.136.4,2026-07-07
jp-osa-wg-002,194.114.136.34,194.114.136.35,2026-07-07
jp-osa-wg-003,194.114.136.65,194.114.136.66,2026-07-07
jp-osa-wg-004,194.114.136.96,194.114.136.97,2026-07-07
jp-tyo-wg-001,138.199.21.239,138.199.21.240,2026-07-07
jp-tyo-wg-002,138.199.21.226,138.199.21.227,2026-07-07
jp-tyo-wg-201,146.70.138.194,146.70.138.195,2026-07-07
jp-tyo-wg-202,146.70.201.2,146.70.201.3,2026-07-07
jp-tyo-wg-203,146.70.201.66,146.70.201.67,2026-07-07
mx-qro-wg-001,149.88.22.129,149.88.22.130,2026-07-07
mx-qro-wg-002,149.88.22.142,149.88.22.143,2026-07-07
mx-qro-wg-003,149.88.22.155,149.88.22.156,2026-07-07
mx-qro-wg-004,149.88.22.168,149.88.22.169,2026-07-07
my-kul-wg-001,98.98.47.130,98.98.47.133,2026-07-07
my-kul-wg-002,162.128.129.98,162.128.129.101,2026-07-07
ng-los-wg-001,79.127.149.130,79.127.149.133,2026-07-07
ng-los-wg-002,79.127.149.159,79.127.149.162,2026-07-07
nl-ams-wg-001,193.32.249.66,193.32.249.131,2026-07-07
nl-ams-wg-002,185.65.134.82,185.65.134.203,2026-07-07
nl-ams-wg-003,185.65.134.83,185.65.134.219,2026-07-07
nl-ams-wg-004,193.32.249.69,193.32.249.158,2026-07-07
nl-ams-wg-005,193.32.249.70,193.32.249.167,2026-07-07
nl-ams-wg-006,185.65.134.86,185.65.134.235,2026-07-07
nl-ams-wg-007,185.65.134.76,185.65.134.191,2026-07-07
nl-ams-wg-008,193.32.249.73,193.32.249.215,2026-07-07
nl-ams-wg-101,92.60.40.194,92.60.40.195,2026-07-07
nl-ams-wg-102,92.60.40.209,92.60.40.210,2026-07-07
nl-ams-wg-103,92.60.40.224,92.60.40.225,2026-07-07
nl-ams-wg-201,169.150.196.2,169.150.196.3,2026-07-07
nl-ams-wg-202,169.150.196.15,169.150.196.16,2026-07-07
nl-ams-wg-203,169.150.196.28,169.150.196.29,2026-07-07
no-osl-wg-001,176.125.235.71,176.125.235.80,2026-07-07
no-osl-wg-002,176.125.235.72,176.125.235.90,2026-07-07
no-osl-wg-003,176.125.235.73,176.125.235.100,2026-07-07
no-osl-wg-101,141.98.253.5,141.98.253.9,2026-07-07
no-osl-wg-102,141.98.253.85,141.98.253.89,2026-07-07
no-osl-wg-103,141.98.253.165,141.98.253.169,2026-07-07
no-svg-wg-001,194.127.199.2,194.127.199.3,2026-07-07
