mx_host,domain_count,primary_asn
mx.breakthur.com,102,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mail.xoxox.ooo,100,"AS47583 (AS-HOSTINGER, CY)"
aero4.stememail.com,94,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
w4.aerospaceemail.com,94,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
srv4.recoverhost.com,89,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx10.antispam.mailspamprotection.com,85,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
in.mail.tm,83,"AS24940 (HETZNER-AS, DE)"
mail4.outsideserver.com,82,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.stackmail.com,80,"AS48254 (TWENTYI, GB)"
tm.xuanlich.com,80,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mail.eye-mail.net,79,"AS24940 (HETZNER-AS, DE)"
recv1.erinn.biz,79,"AS7506 (INTERQ GMO Internet Group, Inc., JP)"
mx.generic-isp.com,78,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx1.hosting.reg.ru,75,"AS197695 (AS-REG, RU)"
mxbiz1.qq.com,74,"AS9304 (HUTCHISON-AS-AP HGC Global Communications Limited, HK)"
mx1.titan.email,73,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
mx4.mxcomet.com,71,"AS24940 (HETZNER-AS, DE)"
mainmx4.darkprobe.com,70,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
coloa4.hubblehost.com,69,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx01.mail.icloud.com,69,"AS714 (APPLE-ENGINEERING - Apple Inc., US)"
mx2.forwardemail.net,65,"AS60068 (CDN77 _, GB)"
mail.computer.com,65,"AS199524 (GCORE, LU)"
mx.hover.com.cust.hostedemail.com,64,"AS15348 (TUCOWS - Tucows.com Co., CA)"
mx1.mail.ovh.net,63,"AS16276 (OVH, FR)"
emx.mail.ru,61,"AS47764 (VK-AS, RU)"
mx.discard.email,59,"AS197540 (NETCUP-AS netcup GmbH, DE)"
mx01.ionos.com,56,"AS8560 (IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE)"
inbound-smtp.us-west-2.amazonaws.com,55,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mx.yandex.ru,54,AS13238 (YANDEX - YANDEX LLC)
mail.hope-mail.com,54,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
fwd.regery.net,53,"AS24940 (HETZNER-AS, DE)"
mail1.mailcore.email,52,"AS57043 (HOSTKEY-AS, NL)"
tryninja.io,52,"AS63949 (AKAMAI-LINODE-AP Akamai Connected Cloud, SG)"
parkmail.dynadot.com,50,"AS36086 (TELX-LEGACY - Telx, US)"
mail.tazza.me,50,"AS47583 (AS-HOSTINGER, CY)"
domain-us-1.getmx.com,50,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
la4.inquirymailer.com,49,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.zoho.eu,49,"AS205111 (ZOHO-EU, NL)"
mx00.ionos.com,48,"AS8560 (IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE)"
mail1.namebrightmail.com,48,"AS12025 (IMDC-AS12025 - Iron Mountain Data Center, US)"
email-fake.com,48,"AS30886 (KOMITEX-AS, UA)"
mx1.emailsrvr.com,47,"AS19994 (RACKSPACE - Rackspace Hosting, US)"
smtp.trashmail.com,46,"AS24940 (HETZNER-AS, DE)"
eml.monster,46,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mail2.namebrightmail.com,45,"AS12025 (IMDC-AS12025 - Iron Mountain Data Center, US)"
mx1-us1.ppe-hosted.com,45,"AS22843 (PROOFPOINT-ASN-US-EAST - Proofpoint, Inc., US)"
mail.tempmail.id.vn,45,"AS135905 (VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN)"
mx00.emig.gmx.net,43,"AS8560 (IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE)"
fwd1.porkbun.com,41,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
gourmet7.spamgourmet.com,40,"AS10439 (CARINET - CariNet, Inc., US)"
us-smtp-inbound-1.mimecast.com,39,"AS30031 (MIMECAST-US - Mimecast North America Inc, US)"
smtpin.rzone.de,39,"AS6724 (STRATO STRATO AG, DE)"
tja.papierkorb.me,38,"AS24940 (HETZNER-AS, DE)"
mail.mailscr.us,38,"AS51167 (CONTABO, DE)"
mx4.mail.ovh.net,38,"AS16276 (OVH, FR)"
mx01.emig.gmx.net,37,"AS8560 (IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE)"
mx4.beavis99.net,36,"AS24940 (HETZNER-AS, DE)"
smtp.getontheweb.com,36,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mx1.darkvilto.biz,35,"AS24940 (HETZNER-AS, DE)"
mailgw.ns36.de,35,
webhost.dynadot.com,34,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
void.blackhole.mx,33,"AS24940 (HETZNER-AS, DE)"
mailnesia.com,33,"AS29802 (HVC-AS - HIVELOCITY, Inc., US)"
